統編,分類,子分類,項目,來自公司報告,單位,年份,數值
75280209,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2005,98725.27
75280209,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2005,130157.11
75947936,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2005,21005.420000000002
75947936,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2005,13764.59
23218395,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,281080
23218395,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,365953.51
30414175,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,19630616.900000002
30414175,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,1257964.24
55389357,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,301818.04000000004
55389357,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,489776.22
69771636,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,88613.07
69771636,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,193352.93
70005915,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,10342.99
70005915,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,14131.1
75280209,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,154146.15000000002
75280209,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,275261.7
75470524,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,47934.23000000001
75470524,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,184144.4
84613756,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,9070469.43
84613756,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,281343.85
23218395,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,280140.33999999997
23218395,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,372314.24
30414175,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,19380125.549999997
30414175,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,1185845.1
55389357,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,302780.08999999997
55389357,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,505026.51
69771636,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,79744.34999999998
69771636,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,193915.37
70005915,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,10489.850000000002
70005915,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,15004.8
72065240,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,31534.29
72065240,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,23022.36
75280209,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,168567.89
75280209,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,284303.68
75470524,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,108794.18000000001
75470524,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,192557.84
75947936,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,47373.86
75947936,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,80953.4
79837539,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,36922.06999999999
79837539,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,70460.1
84613756,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,9759054.55
84613756,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,178316.26
