統編,年份,Tot數值,Tot變化,是推估值
84149738,2019,3192000,100,
84149738,2020,3112125,97.5,T
84149738,2021,3032250,95,T
84149738,2022,2952375,92.49,T
84149738,2023,2872500,89.99,T
84149738,2024,2792625,87.49,T
84149738,2025,2712750,84.99,
84149738,2026,2604240,81.59,T
84149738,2027,2495730,78.19,T
84149738,2028,2387220,74.79,T
84149738,2029,2278710,71.39,T
84149738,2030,2170200,67.99,T
84149738,2031,2061690,64.59,T
84149738,2032,1953180,61.19,T
84149738,2033,1844670,57.79,T
84149738,2034,1736160,54.39,T
84149738,2035,1627650,50.99,T
84149738,2036,1519140,47.59,T
84149738,2037,1410630,44.19,T
84149738,2038,1302120,40.79,T
84149738,2039,1193610,37.39,T
84149738,2040,1085100,33.99,T
84149738,2041,976590,30.59,T
84149738,2042,868080,27.2,T
84149738,2043,759570,23.8,T
84149738,2044,651060,20.4,T
84149738,2045,542550,17,T
84149738,2046,434040,13.6,T
84149738,2047,325530,10.2,T
84149738,2048,217020,6.8,T
84149738,2049,108510,3.4,T
84149738,2050,0,0,
70750217,2019,99400.08,100,
70750217,2020,96689.17,97.27,T
70750217,2021,93978.26,94.55,T
70750217,2022,91267.35,91.82,T
70750217,2023,88556.43,89.09,T
70750217,2024,85845.52,86.36,T
70750217,2025,83134.61,83.64,T
70750217,2026,80423.7,80.91,T
70750217,2027,77712.79,78.18,T
70750217,2028,75001.88,75.45,T
70750217,2029,72290.97,72.73,T
70750217,2030,69580.06,70,
70750217,2031,67592.05,68,T
70750217,2032,65604.05,66,T
70750217,2033,63616.05,64,T
70750217,2034,61628.05,62,T
70750217,2035,59640.05,60,T
70750217,2036,57652.05,58,T
70750217,2037,55664.04,56,T
70750217,2038,53676.04,54,T
70750217,2039,51688.04,52,T
70750217,2040,49700.04,50,
70750217,2041,46718.04,47,T
70750217,2042,43736.04,44,T
70750217,2043,40754.03,41,T
70750217,2044,37772.03,38,T
70750217,2045,34790.03,35,T
70750217,2046,31808.03,32,T
70750217,2047,28826.02,29,T
70750217,2048,25844.02,26,T
70750217,2049,22862.02,23,T
70750217,2050,19880.02,20,
22099890,2019,43225.3,100,
22099890,2020,37554.28,86.88,T
22099890,2021,31883.25,73.76,T
22099890,2022,26212.23,60.64,T
22099890,2023,20541.21,47.52,T
22099890,2024,14870.18,34.4,T
22099890,2025,9199.16,21.28,
22099890,2026,8585.88,19.86,T
22099890,2027,7972.61,18.44,T
22099890,2028,7359.33,17.03,T
22099890,2029,6746.05,15.61,T
22099890,2030,6132.77,14.19,T
22099890,2031,5519.5,12.77,T
22099890,2032,4906.22,11.35,T
22099890,2033,4292.94,9.93,T
22099890,2034,3679.66,8.51,T
22099890,2035,3066.39,7.09,T
22099890,2036,2453.11,5.68,T
22099890,2037,1839.83,4.26,T
22099890,2038,1226.55,2.84,T
22099890,2039,613.28,1.42,T
22099890,2040,0,0,
