統編,分類,子分類,項目,來自公司報告,單位,年份,數值
15458455,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2005,31644.920000000002
15458455,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2005,27211.64
15458455,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2006,33712.7
15458455,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2006,29389.75
15458455,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2007,35179.590000000004
15458455,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2007,29695.699999999997
12526607,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2008,31492.450000000004
12526607,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2008,5907.99
23221384,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2008,12080.82
23221384,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2008,12603.25
11384806,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2009,50.62000000000262
11384806,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2009,39176.11
11384806,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,1147067.75
11384806,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,110252.66
11384708,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,756662.6199999999
11384708,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,259695.12
11384806,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,1853972.18
11384806,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,883068.8099999999
12233428,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,150484.15000000002
12233428,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,811232.4299999999
14057995,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,77235.79999999999
14057995,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,236544.44
75339004,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,26745.590000000004
75339004,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,20952.64
86120031,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,290118.48
86120031,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,208906.96
07066907,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,478584.94
07066907,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,41756.77
04312878,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,75235.12
04312878,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,24991.18
11384708,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,775715.32
11384708,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,610618.26
11384806,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,1901699.5300000003
11384806,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,922841.95
