統編,年份,Tot數值,Tot變化,是推估值
30414175,2019,21533598,100,
30414175,2020,21370227,99.24,T
30414175,2021,21206856,98.48,T
30414175,2022,21043485,97.72,T
30414175,2023,20880114,96.97,T
30414175,2024,20716743,96.21,T
30414175,2025,20553372,95.45,
30414175,2026,19890360,92.37,T
30414175,2027,19227348,89.29,T
30414175,2028,18564336,86.21,T
30414175,2029,17901324,83.13,T
30414175,2030,17238312,80.05,
30414175,2031,16376396.4,76.05,T
30414175,2032,15514480.8,72.05,T
30414175,2033,14652565.2,68.05,T
30414175,2034,13790649.6,64.04,T
30414175,2035,12928734,60.04,T
30414175,2036,12066818.4,56.04,T
30414175,2037,11204902.8,52.03,T
30414175,2038,10342987.2,48.03,T
30414175,2039,9481071.6,44.03,T
30414175,2040,8619156,40.03,T
30414175,2041,7757240.4,36.02,T
30414175,2042,6895324.8,32.02,T
30414175,2043,6033409.2,28.02,T
30414175,2044,5171493.6,24.02,T
30414175,2045,4309578,20.01,T
30414175,2046,3447662.4,16.01,T
30414175,2047,2585746.8,12.01,T
30414175,2048,1723831.2,8.01,T
30414175,2049,861915.6,4,T
30414175,2050,0,0,
75280209,2019,796076,100,
75280209,2020,778098.97,97.74,T
75280209,2021,760121.93,95.48,T
75280209,2022,742144.9,93.23,T
75280209,2023,724167.87,90.97,T
75280209,2024,706190.84,88.71,T
75280209,2025,688213.8,86.45,T
75280209,2026,670236.77,84.19,T
75280209,2027,652259.74,81.93,T
75280209,2028,634282.71,79.68,T
75280209,2029,616305.67,77.42,T
75280209,2030,598328.64,75.16,
75280209,2031,568412.21,71.4,T
75280209,2032,538495.78,67.64,T
75280209,2033,508579.34,63.89,T
75280209,2034,478662.91,60.13,T
75280209,2035,448746.48,56.37,T
75280209,2036,418830.05,52.61,T
75280209,2037,388913.62,48.85,T
75280209,2038,358997.18,45.1,T
75280209,2039,329080.75,41.34,T
75280209,2040,299164.32,37.58,T
75280209,2041,269247.89,33.82,T
75280209,2042,239331.46,30.06,T
75280209,2043,209415.02,26.31,T
75280209,2044,179498.59,22.55,T
75280209,2045,149582.16,18.79,T
75280209,2046,119665.73,15.03,T
75280209,2047,89749.3,11.27,T
75280209,2048,59832.86,7.52,T
75280209,2049,29916.43,3.76,T
75280209,2050,0,0,
07838854,2019,342362.2,100,
07838854,2020,355573.35,103.86,T
07838854,2021,368784.51,107.72,T
07838854,2022,381995.66,111.58,T
07838854,2023,395206.81,115.44,T
07838854,2024,408417.97,119.29,T
07838854,2025,421629.12,123.15,
07838854,2026,412259.58,120.42,T
07838854,2027,402890.05,117.68,T
07838854,2028,393520.51,114.94,T
07838854,2029,384150.98,112.21,T
07838854,2030,374781.44,109.47,
07838854,2031,367754.29,107.42,T
07838854,2032,360727.14,105.36,T
07838854,2033,353699.98,103.31,T
07838854,2034,346672.83,101.26,T
07838854,2035,339645.68,99.21,T
07838854,2036,332618.53,97.15,T
07838854,2037,325591.38,95.1,T
07838854,2038,318564.22,93.05,T
07838854,2039,311537.07,91,T
07838854,2040,304509.92,88.94,T
07838854,2041,297482.77,86.89,T
07838854,2042,290455.62,84.84,T
07838854,2043,283428.46,82.79,T
07838854,2044,276401.31,80.73,T
07838854,2045,269374.16,78.68,T
07838854,2046,262347.01,76.63,T
07838854,2047,255319.86,74.58,T
07838854,2048,248292.7,72.52,T
07838854,2049,241265.55,70.47,T
07838854,2050,234238.4,68.42,
75947936,2019,163752,100,
75947936,2020,163756.11,100,T
75947936,2021,163760.22,100.01,T
75947936,2022,163764.33,100.01,T
75947936,2023,163768.44,100.01,T
75947936,2024,163772.55,100.01,T
75947936,2025,163776.66,100.02,
79837539,2019,79249.05,100,
79837539,2020,78647.47,99.24,T
79837539,2021,78045.89,98.48,T
79837539,2022,77444.3,97.72,T
79837539,2023,76842.72,96.96,T
79837539,2024,76241.14,96.2,T
79837539,2025,75639.56,95.45,T
79837539,2026,75037.97,94.69,T
79837539,2027,74436.39,93.93,T
79837539,2028,73834.81,93.17,T
79837539,2029,73233.23,92.41,T
79837539,2030,72631.65,91.65,T
79837539,2031,72030.06,90.89,T
79837539,2032,71428.48,90.13,T
79837539,2033,70826.9,89.37,T
79837539,2034,70225.32,88.61,T
79837539,2035,69623.73,87.85,T
79837539,2036,69022.15,87.1,T
79837539,2037,68420.57,86.34,T
79837539,2038,67818.99,85.58,T
79837539,2039,67217.4,84.82,T
79837539,2040,66615.82,84.06,T
79837539,2041,66014.24,83.3,T
79837539,2042,65412.66,82.54,T
79837539,2043,64811.08,81.78,T
79837539,2044,64209.49,81.02,T
79837539,2045,63607.91,80.26,T
79837539,2046,63006.33,79.5,T
79837539,2047,62404.75,78.75,T
79837539,2048,61803.16,77.99,T
79837539,2049,61201.58,77.23,T
79837539,2050,60600,76.47,
