統編,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
59504506,2022,96171.7,130.02,36949.9,117.48,59221.8,139.3,
59504506,2021,68895.28,93.15,29922.58,95.14,38972.7,91.67,
59504506,2020,70929.86,95.9,30187.14,95.98,40742.72,95.84,
59504506,2019,73964.48,100,31451.58,100,42512.9,100,
59504506,2018,79862.9,107.97,34538.29,109.81,45324.61,106.61,
59504506,2017,83399.89,112.76,35167.32,111.81,48232.57,113.45,
59504506,2016,84343.19,114.03,37172.47,118.19,47170.72,110.96,
59504506,2015,89484.07,120.98,42434.2,134.92,47049.87,110.67,
59504506,2014,95145.02,128.64,46188.11,146.85,48956.91,115.16,
59504506,2023,103574.1,140.03,38782.67,123.31,64791.43,152.4,T
59504506,2024,110976.51,150.04,40615.44,129.14,70361.07,165.51,T
59504506,2025,118378.91,160.05,42448.21,134.96,75930.7,178.61,T
59504506,2026,125781.32,170.06,44280.98,140.79,81500.33,191.71,T
59504506,2027,133183.72,180.06,46113.75,146.62,87069.97,204.81,T
59504506,2028,140586.13,190.07,47946.53,152.45,92639.6,217.91,T
59504506,2029,147988.53,200.08,49779.3,158.27,98209.23,231.01,T
59504506,2030,155390.94,210.09,51612.07,164.1,103778.87,244.11,T
59504506,2031,162793.34,220.1,53444.84,169.93,109348.5,257.21,T
59504506,2032,170195.75,230.1,55277.61,175.75,114918.13,270.31,T
59504506,2033,177598.15,240.11,57110.38,181.58,120487.77,283.41,T
59504506,2034,185000.56,250.12,58943.16,187.41,126057.4,296.52,T
59504506,2035,192402.96,260.13,60775.93,193.24,131627.03,309.62,T
59504506,2036,199805.37,270.14,62608.7,199.06,137196.67,322.72,T
59504506,2037,207207.77,280.14,64441.47,204.89,142766.3,335.82,T
59504506,2038,214610.18,290.15,66274.24,210.72,148335.93,348.92,T
59504506,2039,222012.58,300.16,68107.01,216.55,153905.57,362.02,T
59504506,2040,229414.99,310.17,69939.79,222.37,159475.2,375.12,T
59504506,2041,236817.39,320.18,71772.56,228.2,165044.83,388.22,T
59504506,2042,244219.8,330.19,73605.33,234.03,170614.47,401.32,T
59504506,2043,251622.2,340.19,75438.1,239.85,176184.1,414.43,T
59504506,2044,259024.61,350.2,77270.87,245.68,181753.73,427.53,T
59504506,2045,266427.01,360.21,79103.64,251.51,187323.37,440.63,T
59504506,2046,273829.42,370.22,80936.42,257.34,192893,453.73,T
59504506,2047,281231.82,380.23,82769.19,263.16,198462.63,466.83,T
59504506,2048,288634.23,390.23,84601.96,268.99,204032.27,479.93,T
59504506,2049,296036.63,400.24,86434.73,274.82,209601.9,493.03,T
59504506,2050,303439.04,410.25,88267.5,280.65,215171.53,506.13,T
