統編,年份,Tot數值,Tot變化,是推估值
33085508,2019,1402954.59,98.82,T
33085508,2020,1366981.39,96.29,T
33085508,2021,1331008.2,93.75,T
33085508,2022,1295035,91.22,T
33085508,2023,1259061.81,88.69,T
33085508,2024,1223088.61,86.15,T
33085508,2025,1187115.42,83.62,T
33085508,2026,1151142.22,81.08,T
33085508,2027,1115169.03,78.55,T
33085508,2028,1079195.84,76.02,T
33085508,2029,1043222.64,73.48,T
33085508,2030,1007249.45,70.95,
33085508,2031,956886.97,67.4,T
33085508,2032,906524.5,63.85,T
33085508,2033,856162.03,60.31,T
33085508,2034,805799.56,56.76,T
33085508,2035,755437.08,53.21,T
33085508,2036,705074.61,49.66,T
33085508,2037,654712.14,46.12,T
33085508,2038,604349.67,42.57,T
33085508,2039,553987.2,39.02,T
33085508,2040,503624.72,35.47,T
33085508,2041,453262.25,31.93,T
33085508,2042,402899.78,28.38,T
33085508,2043,352537.31,24.83,T
33085508,2044,302174.83,21.28,T
33085508,2045,251812.36,17.74,T
33085508,2046,201449.89,14.19,T
33085508,2047,151087.42,10.64,T
33085508,2048,100724.94,7.09,T
33085508,2049,50362.47,3.55,T
33085508,2050,0,0,
94025264,2019,1019700,105.12,T
94025264,2020,1009400,104.06,T
94025264,2021,999100,103,T
94025264,2022,988800,101.94,T
94025264,2023,978500,100.88,T
94025264,2024,968200,99.81,T
94025264,2025,957900,98.75,
