統編,分類,子分類,項目,來自公司報告,單位,年份,數值
70750217,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,154.51000000000204
70750217,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,63362.52
70750217,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2011,63517.03
12800225,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,533811.95
12800225,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,2347224.4499999997
12800225,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,2881036.3999999994
16432742,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,18.9800000000032
16432742,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,20624.76
16432742,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,20643.74
16450500,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,111085.13
16450500,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,195430.86
16450500,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,306515.99
22099890,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,6965.77
22099890,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,31282.19
22099890,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,38247.96
70766576,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,12.069999999999709
70766576,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,7671.96
70766576,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,7684.03
84149738,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,311199.89000000013
84149738,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,2098838.07
84149738,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,2410037.96
84706109,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,981.6199999999953
84706109,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,33846.72
84706109,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,34828.34
12800225,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,491359.7700000001
12800225,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,2385078.46
12800225,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,2876438.23
16432742,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,164.39999999999964
16432742,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,12062.81
16432742,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,12227.21
16450500,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,109107.93000000002
16450500,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,247515.74
16450500,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,356623.67000000004
22099890,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,5380.57
22099890,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,32078.86
22099890,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,37459.43
84149738,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,302293.78
84149738,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,2162833.3100000005
84149738,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,2465127.090000001
12800225,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,444640.2
12800225,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,2400789.02
12800225,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,2845429.22
16432742,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,37037.990000000005
16432742,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,29133.67
16432742,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,66171.66
16450500,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,88666.76000000001
