統編,分類,子分類,項目,來自公司報告,單位,年份,數值
03707901,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2003,3573636.3
03707901,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2003,73220.6
03707901,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2005,4179999.0300000003
03707901,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2005,199940.88
03084741,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2005,208919.27
03084741,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2005,45961.97
03707901,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2006,6166429.26
03707901,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2006,82591.81
03707901,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2007,2604717.78
03707901,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2007,37104.74
03707901,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2008,2207971.9
03707901,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2008,53346.17
03084741,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2008,1006897.51
03084741,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2008,40572.89
03084741,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2009,1181438.9
03084741,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2009,41887.509999999995
03707901,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2009,2172114.36
03707901,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2009,120672.08000000002
03707901,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2010,2108512.53
03707901,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2010,52135.75
03084741,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2010,1014189.6599999999
03084741,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2010,2711.81
03707901,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,2151946.15
03707901,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,55835.12
03707901,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2012,1664898.22
03707901,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2012,42555.21
58650902,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,6996980.43
58650902,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,2529246.51
