統編,年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
22099110,2018,208667.19,118.84,155947.77,123.75,52719.42,106.35,
22099110,2017,185520.32,105.65,130564.21,103.6,54956.11,110.86,
22099110,2016,165961.46,94.52,114900.78,91.18,51060.68,103.01,
22099110,2015,110084.22,62.69,59247.95,47.01,50836.27,102.55,
22099110,2014,110604.98,62.99,58311.76,46.27,52293.22,105.49,
22099110,2013,107068.57,60.98,55539.65,44.07,51528.92,103.95,
22099110,2021,236322.37,134.59,187664,148.91,48658.38,98.16,T
22099110,2022,249022.89,141.82,201938.94,160.24,47083.94,94.98,T
22099110,2023,261723.4,149.05,216213.89,171.57,45509.51,91.81,T
22099110,2024,274423.91,156.29,230488.84,182.9,43935.08,88.63,T
22099110,2025,287124.43,163.52,244763.78,194.22,42360.64,85.46,T
22099110,2026,299824.94,170.75,259038.73,205.55,40786.21,82.28,T
22099110,2027,312525.45,177.98,273313.68,216.88,39211.78,79.1,T
22099110,2028,325225.97,185.22,287588.62,228.21,37637.34,75.93,T
22099110,2029,337926.48,192.45,301863.57,239.53,36062.91,72.75,T
22099110,2030,350626.99,199.68,316138.52,250.86,34488.48,69.57,T
22099110,2031,363327.51,206.92,330413.46,262.19,32914.04,66.4,T
22099110,2032,376028.02,214.15,344688.41,273.52,31339.61,63.22,T
22099110,2033,388728.53,221.38,358963.36,284.84,29765.18,60.05,T
22099110,2034,401429.05,228.62,373238.3,296.17,28190.74,56.87,T
22099110,2035,414129.56,235.85,387513.25,307.5,26616.31,53.69,T
22099110,2036,426830.07,243.08,401788.2,318.83,25041.88,50.52,T
22099110,2037,439530.59,250.31,416063.14,330.15,23467.44,47.34,T
22099110,2038,452231.1,257.55,430338.09,341.48,21893.01,44.17,T
22099110,2039,464931.61,264.78,444613.04,352.81,20318.58,40.99,T
22099110,2040,477632.13,272.01,458887.98,364.14,18744.14,37.81,T
22099110,2041,490332.64,279.25,473162.93,375.46,17169.71,34.64,T
22099110,2042,503033.15,286.48,487437.88,386.79,15595.28,31.46,T
22099110,2043,515733.67,293.71,501712.82,398.12,14020.84,28.28,T
22099110,2044,528434.18,300.94,515987.77,409.44,12446.41,25.11,T
22099110,2045,541134.69,308.18,530262.72,420.77,10871.98,21.93,T
22099110,2046,553835.21,315.41,544537.66,432.1,9297.54,18.76,T
22099110,2047,566535.72,322.64,558812.61,443.43,7723.11,15.58,T
22099110,2048,579236.23,329.88,573087.56,454.75,6148.68,12.4,T
22099110,2049,591936.75,337.11,587362.5,466.08,4574.24,9.23,T
22099110,2050,604637.26,344.34,601637.45,477.41,2999.81,6.05,T
22099131,2020,9375967.31,121.84,2149375.68,129.7,7226591.63,119.68,
22099131,2019,7695389.28,100,1657161.01,100,6038228.27,100,
