統編,分類,子分類,項目,來自公司報告,單位,年份,數值
11913502,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2005,1154831.74
11913502,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2005,49637.86
11913502,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2006,1204664.0999999999
11913502,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2006,51920.04
11913502,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2007,1207495.76
11913502,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2007,51066.66
07568009,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,112.93
07568009,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,0
11913502,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,6545196.9
11913502,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,306790.25
40601248,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,709555.1
40601248,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,49804.18
83078600,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,557107.4299999999
83078600,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,48497.53
03244509,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,4084661.25
03244509,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,212699.26
07568009,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,125
07568009,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,7993.24
03279507,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,665552.3400000001
03279507,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,53844.31
11913502,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,5097452.57
11913502,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,284378.69
40601248,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,675843.5700000001
40601248,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,48361.34
83078600,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,545025.9400000001
83078600,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,49917.22
03244509,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,3864529.0300000003
03244509,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,199822.76
07568009,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,233.45000000000073
07568009,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,9865.66
03279507,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,696739.89
03279507,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,54184.9
11913502,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,4614889.72
11913502,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,281362.52999999997
40601248,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,667690.1799999999
40601248,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,47885.67
83078600,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,494121.07999999996
83078600,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,45476.01
07568009,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,27176.359999999997
07568009,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,15785.720000000001
03279507,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,621143.49
03279507,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,50733.62
03244509,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,3625206.2199999997
03244509,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,194973
11913502,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,3835837.3499999996
11913502,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,253768.21000000002
11913502,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,4566.110923697661
40601248,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,647414.87
40601248,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,46759.32
40601248,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,16329.43375783128
83078600,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,239235.96
83078600,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,29560.1
83078600,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,18180.137502832233
07568009,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,28454.519999999997
07568009,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,15947.44
07568009,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,960.6241531357693
03244509,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,3229666.58
03244509,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,189633.39
03244509,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,5610.358859183814
03279507,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,548627.61
03279507,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,44727.09
03279507,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,13652.430532147207
11913502,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,5147977.51
11913502,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,326636.56999999995
11913502,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,5568.624942753551
40601248,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,606611.2200000001
40601248,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,43814.71
40601248,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,18938.26296698107
03279507,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,983443.8800000001
03279507,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,81508.98
03279507,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,19809.844235647506
03244509,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,5716658.8
03244509,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,339676.05
03244509,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,9331.902967504338
07568009,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,23983.71
07568009,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,6309.84
07568009,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,687.6495899555453
11913502,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,4228687.92
11913502,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,238312.18000000002
11913502,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,3585.2276328953635
40601248,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,551573.2100000001
40601248,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,42959.35
40601248,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,17850.608944151525
83078600,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,2647.869999999999
83078600,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,21406.13
83078600,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,1435.0427488102462
03244509,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,2885737.9400000004
03244509,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,166542.03
03244509,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,3688.9568925221165
03279507,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,467579.26999999996
03279507,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,37647.15
03279507,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,7539.421261787191
07568009,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,155.65999999999985
07568009,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,9759.02
07568009,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,207.37695968662584
11913502,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,4266394.18
11913502,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,214269.42
11913502,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,3649.2536337314536
40601248,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,604114.1599999999
40601248,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,40452.3
40601248,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,17272.748369642115
07568009,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,156.01000000000022
07568009,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,9461.35
07568009,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,192.12698405088088
03244509,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,2936830.8499999996
03244509,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,155215.91
03244509,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,3460.692262068442
03279507,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,488374.39999999997
03279507,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,38887.07
03279507,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,6739.978869715112
11913502,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,4411102.09
11913502,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,201547.19
11913502,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,4033.190796312514
40601248,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,629995.36
40601248,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,42652.33
40601248,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,14848.171106969005
03279507,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,563669.21
03279507,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,41881.26
03279507,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,7974.8060591358635
03244509,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,2998902.58
03244509,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,163824.05
03244509,E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,4042.294296792163
