統編,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
35412204,2020,314914.72,95.31,125617.28,93.44,189297.44,96.6,
35412204,2019,330399.62,100,134441.47,100,195958.15,100,
35412204,2018,380559.63,115.18,163009.92,121.25,217549.71,111.02,
35412204,2017,387432.73,117.26,157600.12,117.23,229832.61,117.29,
35412204,2016,292323.84,88.48,114271.58,85,178052.26,90.86,
35412204,2015,279751.74,84.67,111983.4,83.3,167768.34,85.61,
35412204,2014,243164.06,73.6,96569.37,71.83,146594.69,74.81,
35412204,2013,183290.74,55.48,43774.21,32.56,139516.53,71.2,
35412204,2021,290742.05,88,114956.33,85.51,175785.72,89.71,T
35412204,2022,266569.38,80.68,104295.39,77.58,162273.99,82.81,T
35412204,2023,242396.71,73.36,93634.44,69.65,148762.27,75.92,T
35412204,2024,218224.04,66.05,82973.49,61.72,135250.55,69.02,T
35412204,2025,194051.37,58.73,72312.55,53.79,121738.82,62.12,T
35412204,2026,169878.7,51.42,61651.6,45.86,108227.1,55.23,T
35412204,2027,145706.03,44.1,50990.65,37.93,94715.38,48.33,T
35412204,2028,121533.36,36.78,40329.71,30,81203.65,41.44,T
35412204,2029,97360.69,29.47,29668.76,22.07,67691.93,34.54,T
35412204,2030,73188.02,22.15,19007.81,14.14,54180.21,27.65,T
35412204,2031,49015.35,14.84,8346.87,6.21,40668.48,20.75,T
35412204,2032,24842.68,7.52,0,0,27156.76,13.86,T
35412204,2033,670.01,0.2,0,0,13645.04,6.96,T
35412204,2034,0,0,0,0,133.31,0.07,T
35412204,2035,0,0,0,0,0,0,T
35412204,2036,0,0,0,0,0,0,T
35412204,2037,0,0,0,0,0,0,T
35412204,2038,0,0,0,0,0,0,T
35412204,2039,0,0,0,0,0,0,T
35412204,2040,0,0,0,0,0,0,T
35412204,2041,0,0,0,0,0,0,T
35412204,2042,0,0,0,0,0,0,T
35412204,2043,0,0,0,0,0,0,T
35412204,2044,0,0,0,0,0,0,T
35412204,2045,0,0,0,0,0,0,T
35412204,2046,0,0,0,0,0,0,T
35412204,2047,0,0,0,0,0,0,T
35412204,2048,0,0,0,0,0,0,T
35412204,2049,0,0,0,0,0,0,T
35412204,2050,0,0,0,0,0,0,T
