統編,分類,子分類,項目,單位,年份,數值
70750217,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2011,63517.03
70750217,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2011,63517.03
12800225,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2013,2881036.4
12800225,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2013,2881036.4
16432742,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2013,20643.74
16432742,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2013,20643.74
16450500,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2013,306515.99
16450500,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2013,306515.99
70766576,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2013,7684.03
70766576,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2013,7684.03
84149738,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2013,2410037.96
84149738,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2013,2410037.96
12800225,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,2876438.23
12800225,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,2876438.23
16432742,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,12227.21
16432742,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,12227.21
16450500,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,356623.67
16450500,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,356623.67
84149738,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,2465127.09
84149738,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,2465127.09
12800225,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,2845429.2199999997
12800225,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,2845429.2199999997
16432742,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,66171.66
16432742,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,66171.66
16450500,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,339658.11000000004
16450500,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,339658.11000000004
84149738,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,2470361.1
84149738,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,2470361.1
12800225,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,2894527.0700000003
12800225,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,2894527.0700000003
16432742,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,278256.61
16432742,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,278256.61
16450500,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,344182.51
16450500,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,344182.51
84149738,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,2538218.3600000003
84149738,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,2538218.3600000003
12800225,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,3110747.4
12800225,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,3110747.4
16432742,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,338619.24
16432742,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,338619.24
16450500,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,381423.65
16450500,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,381423.65
70750217,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,80606.63
70750217,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,80606.63
84149738,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,2692688.27
84149738,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,2692688.27
