統編,年份,Tot數值,Tot變化,是承諾值
03553737,2014,156170.3,99.53,
03553737,2015,145773.12,92.9,
03553737,2016,155189.47,98.9,
03553737,2017,166175.49,105.91,
03553737,2018,158172.14,100.8,
03553737,2019,156909.04,100,
03553737,2020,145265.4,92.58,
03553737,2021,510480.1,325.34,T
03553737,2022,497718.1,317.2,T
03553737,2023,484956.1,309.07,T
03553737,2024,472194.09,300.93,T
03553737,2025,459432.09,292.8,T
03553737,2026,446670.09,284.67,T
03553737,2027,433908.09,276.53,T
03553737,2028,421146.08,268.4,T
03553737,2029,408384.08,260.27,T
03553737,2030,395622.08,252.13,T
