統編,分類,子分類,項目,單位,年份,數值
11083148,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,93600.21
11083148,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,4220.1
14001199,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,532640.39
14001199,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,150283.07
33955322,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,266779.77
33955322,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,166677.58000000002
35082604,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,150509.89
35082604,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,79130.31
68919301,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,103873.01
68919301,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,51446.46
73686632,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,77296.1
73686632,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,29771.38
11083148,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,87428.62
11083148,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,4081.93
14001199,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,495730.1
14001199,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,134688.09
22267777,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,37576.39
22267777,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,8095.09
22817999,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,145586.64
22817999,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,69652.92
33955322,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,278928.49
33955322,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,185692.49
35082604,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,152822.55
35082604,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,83873.42
68919301,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,101205.65
68919301,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,50689.27
73686632,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,80104.45
73686632,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,31697.07
14001199,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,457787.54
14001199,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,105992.34
22267777,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,36457.9
22267777,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,6837.01
22817999,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,154235.94
22817999,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,73024.85
22927617,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,50066.72
22927617,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,21371.6
33955322,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,268667.56
33955322,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,174805.41
35082604,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,154491.55
35082604,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,85903.68
68919301,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,93235.8
68919301,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,50617.68
73686632,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,68999.62
73686632,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,29446.6
11083148,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,101425.44
11083148,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,4601.41
14001199,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,431830.86
14001199,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,119997.51999999999
22267777,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,35440.63
22267777,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,7082.56
22817999,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,162216.84
22817999,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,80637.58
22927617,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,51735.02
22927617,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,23118.2
33955322,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,300008.27999999997
33955322,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,190699.36
35082604,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,165558.15
35082604,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,94071.86
68919301,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,93215.89
68919301,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,54259.65
