統編,分類,子分類,項目,單位,年份,數值
73686632,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,68404.73
73686632,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,36164.75
11083148,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,38606.35
11083148,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,4886.22
14001199,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,445303.95999999996
14001199,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,108649.6
22267777,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,38971.03
22267777,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,6859.92
22817999,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,155577.17
22817999,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,70527.41
22927617,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,53119.08
22927617,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,23695.47
33955322,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,292456.93
33955322,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,186010.22
35082604,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,168666.95
35082604,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,96428.65
68919301,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,93968.95
68919301,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,53885.02
73686632,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,87544.59
73686632,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,36207.39
11083148,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,18425.32
11083148,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,2639.57
14001199,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,356182.71
14001199,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,32484
22267777,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,35792.53
22267777,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,6562.84
22817999,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,134816.48
22817999,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,59785.1
22927617,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,40397.57
22927617,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,17902.14
33955322,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,279555.01
33955322,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,174994.38
35082604,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,163154.41
35082604,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,91425.36
68919301,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,81958.52
68919301,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,41836.14
73686632,E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,85310.31
73686632,E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,36135.64
3522600,S,員工薪資,平均薪資,仟元,2020,919
3522600,S,員工薪資,薪資中位數,仟元,2020,808
7435515,S,員工薪資,平均薪資,仟元,2020,639
7435515,S,員工薪資,薪資中位數,仟元,2020,549
35286207,S,員工薪資,平均薪資,仟元,2020,502
35286207,S,員工薪資,薪資中位數,仟元,2020,524
7220710,S,員工薪資,平均薪資,仟元,2020,561
7220710,S,員工薪資,薪資中位數,仟元,2020,519
73141105,S,員工薪資,平均薪資,仟元,2020,475
73141105,S,員工薪資,薪資中位數,仟元,2020,447
11825825,S,員工薪資,平均薪資,仟元,2020,500
11825825,S,員工薪資,薪資中位數,仟元,2020,454
11083148,S,員工薪資,平均薪資,仟元,2020,479
11083148,S,員工薪資,薪資中位數,仟元,2020,429
7435901,S,員工薪資,平均薪資,仟元,2020,586
7435901,S,員工薪資,薪資中位數,仟元,2020,518
11311608,S,員工薪資,平均薪資,仟元,2020,596
11311608,S,員工薪資,薪資中位數,仟元,2020,558
14001199,S,員工薪資,平均薪資,仟元,2020,555
14001199,S,員工薪資,薪資中位數,仟元,2020,487
11113403,S,員工薪資,平均薪資,仟元,2020,847
11113403,S,員工薪資,薪資中位數,仟元,2020,785
68919301,S,員工薪資,平均薪資,仟元,2020,563
68919301,S,員工薪資,薪資中位數,仟元,2020,464
51037304,S,員工薪資,平均薪資,仟元,2020,561
51037304,S,員工薪資,薪資中位數,仟元,2020,520
7663290,S,員工薪資,平均薪資,仟元,2020,484
7663290,S,員工薪資,薪資中位數,仟元,2020,420
7015014,S,員工薪資,平均薪資,仟元,2020,488
7015014,S,員工薪資,薪資中位數,仟元,2020,402
73641170,S,員工薪資,平均薪資,仟元,2020,551
73641170,S,員工薪資,薪資中位數,仟元,2020,472
33955322,S,員工薪資,平均薪資,仟元,2020,495
33955322,S,員工薪資,薪資中位數,仟元,2020,432
72055019,S,員工薪資,平均薪資,仟元,2020,435
72055019,S,員工薪資,薪資中位數,仟元,2020,396
22266307,S,員工薪資,平均薪資,仟元,2020,518
22266307,S,員工薪資,薪資中位數,仟元,2020,472
43121481,S,員工薪資,平均薪資,仟元,2020,556
43121481,S,員工薪資,薪資中位數,仟元,2020,462
4301794,S,員工薪資,平均薪資,仟元,2020,479
4301794,S,員工薪資,薪資中位數,仟元,2020,415
43295237,S,員工薪資,平均薪資,仟元,2020,567
43295237,S,員工薪資,薪資中位數,仟元,2020,490
7669338,S,員工薪資,平均薪資,仟元,2020,685
7669338,S,員工薪資,薪資中位數,仟元,2020,593
33653494,S,員工薪資,平均薪資,仟元,2020,444
33653494,S,員工薪資,薪資中位數,仟元,2020,382
22817999,S,員工薪資,平均薪資,仟元,2020,491
22817999,S,員工薪資,薪資中位數,仟元,2020,454
7715023,S,員工薪資,平均薪資,仟元,2020,455
7715023,S,員工薪資,薪資中位數,仟元,2020,403
73686632,S,員工薪資,平均薪資,仟元,2020,480
73686632,S,員工薪資,薪資中位數,仟元,2020,434
33700601,S,員工薪資,平均薪資,仟元,2020,424
33700601,S,員工薪資,薪資中位數,仟元,2020,374
22976047,S,員工薪資,平均薪資,仟元,2020,531
22976047,S,員工薪資,薪資中位數,仟元,2020,493
69559487,S,員工薪資,平均薪資,仟元,2020,637
69559487,S,員工薪資,薪資中位數,仟元,2020,548
36123364,S,員工薪資,平均薪資,仟元,2020,504
36123364,S,員工薪資,薪資中位數,仟元,2020,462
22267777,S,員工薪資,平均薪資,仟元,2020,525
22267777,S,員工薪資,薪資中位數,仟元,2020,465
7029919,S,員工薪資,平均薪資,仟元,2020,439
7029919,S,員工薪資,薪資中位數,仟元,2020,409
68919702,S,員工薪資,平均薪資,仟元,2020,516
68919702,S,員工薪資,薪資中位數,仟元,2020,450
58003997,S,員工薪資,平均薪資,仟元,2020,550
58003997,S,員工薪資,薪資中位數,仟元,2020,501
23912057,S,員工薪資,平均薪資,仟元,2020,561
23912057,S,員工薪資,薪資中位數,仟元,2020,538
35884479,S,員工薪資,平均薪資,仟元,2020,793
35884479,S,員工薪資,薪資中位數,仟元,2020,693
23609668,S,員工薪資,平均薪資,仟元,2020,1236
23609668,S,員工薪資,薪資中位數,仟元,2020,1151
49744324,S,員工薪資,平均薪資,仟元,2020,933
49744324,S,員工薪資,薪資中位數,仟元,2020,699
16229261,S,員工薪資,平均薪資,仟元,2020,430
16229261,S,員工薪資,薪資中位數,仟元,2020,399
89620361,S,員工薪資,平均薪資,仟元,2020,790
89620361,S,員工薪資,薪資中位數,仟元,2020,742
3522600,S,員工薪資,平均薪資,仟元,2019,921
3522600,S,員工薪資,薪資中位數,仟元,2019,817
7435515,S,員工薪資,平均薪資,仟元,2019,655
7435515,S,員工薪資,薪資中位數,仟元,2019,567
35286207,S,員工薪資,平均薪資,仟元,2019,500
35286207,S,員工薪資,薪資中位數,仟元,2019,535
7220710,S,員工薪資,平均薪資,仟元,2019,587
7220710,S,員工薪資,薪資中位數,仟元,2019,535
73141105,S,員工薪資,平均薪資,仟元,2019,472
73141105,S,員工薪資,薪資中位數,仟元,2019,445
11825825,S,員工薪資,平均薪資,仟元,2019,498
11825825,S,員工薪資,薪資中位數,仟元,2019,456
11083148,S,員工薪資,平均薪資,仟元,2019,452
11083148,S,員工薪資,薪資中位數,仟元,2019,410
7435901,S,員工薪資,平均薪資,仟元,2019,588
7435901,S,員工薪資,薪資中位數,仟元,2019,506
11311608,S,員工薪資,平均薪資,仟元,2019,435
11311608,S,員工薪資,薪資中位數,仟元,2019,413
14001199,S,員工薪資,平均薪資,仟元,2019,570
14001199,S,員工薪資,薪資中位數,仟元,2019,508
11113403,S,員工薪資,平均薪資,仟元,2019,739
11113403,S,員工薪資,薪資中位數,仟元,2019,735
68919301,S,員工薪資,平均薪資,仟元,2019,528
68919301,S,員工薪資,薪資中位數,仟元,2019,455
51037304,S,員工薪資,平均薪資,仟元,2019,518
51037304,S,員工薪資,薪資中位數,仟元,2019,492
7663290,S,員工薪資,平均薪資,仟元,2019,512
7663290,S,員工薪資,薪資中位數,仟元,2019,447
7015014,S,員工薪資,平均薪資,仟元,2019,502
7015014,S,員工薪資,薪資中位數,仟元,2019,415
73641170,S,員工薪資,平均薪資,仟元,2019,555
73641170,S,員工薪資,薪資中位數,仟元,2019,473
33955322,S,員工薪資,平均薪資,仟元,2019,514
33955322,S,員工薪資,薪資中位數,仟元,2019,451
72055019,S,員工薪資,平均薪資,仟元,2019,456
72055019,S,員工薪資,薪資中位數,仟元,2019,419
22266307,S,員工薪資,平均薪資,仟元,2019,530
22266307,S,員工薪資,薪資中位數,仟元,2019,471
43121481,S,員工薪資,平均薪資,仟元,2019,562
43121481,S,員工薪資,薪資中位數,仟元,2019,466
4301794,S,員工薪資,平均薪資,仟元,2019,517
4301794,S,員工薪資,薪資中位數,仟元,2019,443
43295237,S,員工薪資,平均薪資,仟元,2019,572
43295237,S,員工薪資,薪資中位數,仟元,2019,471
7669338,S,員工薪資,平均薪資,仟元,2019,538
7669338,S,員工薪資,薪資中位數,仟元,2019,529
33653494,S,員工薪資,平均薪資,仟元,2019,450
33653494,S,員工薪資,薪資中位數,仟元,2019,405
22817999,S,員工薪資,平均薪資,仟元,2019,502
22817999,S,員工薪資,薪資中位數,仟元,2019,452
7715023,S,員工薪資,平均薪資,仟元,2019,511
7715023,S,員工薪資,薪資中位數,仟元,2019,488
73686632,S,員工薪資,平均薪資,仟元,2019,544
73686632,S,員工薪資,薪資中位數,仟元,2019,496
33700601,S,員工薪資,平均薪資,仟元,2019,756
33700601,S,員工薪資,薪資中位數,仟元,2019,477
22976047,S,員工薪資,平均薪資,仟元,2019,529
22976047,S,員工薪資,薪資中位數,仟元,2019,505
69559487,S,員工薪資,平均薪資,仟元,2019,533
69559487,S,員工薪資,薪資中位數,仟元,2019,481
36123364,S,員工薪資,平均薪資,仟元,2019,514
36123364,S,員工薪資,薪資中位數,仟元,2019,461
22267777,S,員工薪資,平均薪資,仟元,2019,578
22267777,S,員工薪資,薪資中位數,仟元,2019,495
7029919,S,員工薪資,平均薪資,仟元,2019,430
7029919,S,員工薪資,薪資中位數,仟元,2019,420
68919702,S,員工薪資,平均薪資,仟元,2019,565
68919702,S,員工薪資,薪資中位數,仟元,2019,482
58003997,S,員工薪資,平均薪資,仟元,2019,525
58003997,S,員工薪資,薪資中位數,仟元,2019,470
23912057,S,員工薪資,平均薪資,仟元,2019,621
23912057,S,員工薪資,薪資中位數,仟元,2019,570
35884479,S,員工薪資,平均薪資,仟元,2019,750
35884479,S,員工薪資,薪資中位數,仟元,2019,634
23609668,S,員工薪資,平均薪資,仟元,2019,1199
23609668,S,員工薪資,薪資中位數,仟元,2019,1098
49744324,S,員工薪資,平均薪資,仟元,2019,990
49744324,S,員工薪資,薪資中位數,仟元,2019,691
16229261,S,員工薪資,平均薪資,仟元,2019,519
16229261,S,員工薪資,薪資中位數,仟元,2019,464
89620361,S,員工薪資,平均薪資,仟元,2019,806
89620361,S,員工薪資,薪資中位數,仟元,2019,734
3522600,S,員工薪資,平均薪資,仟元,2018,917
3522600,S,員工薪資,薪資中位數,仟元,2018,NaN
7435515,S,員工薪資,平均薪資,仟元,2018,742
7435515,S,員工薪資,薪資中位數,仟元,2018,NaN
35286207,S,員工薪資,平均薪資,仟元,2018,542
35286207,S,員工薪資,薪資中位數,仟元,2018,NaN
7220710,S,員工薪資,平均薪資,仟元,2018,594
7220710,S,員工薪資,薪資中位數,仟元,2018,NaN
73141105,S,員工薪資,平均薪資,仟元,2018,504
73141105,S,員工薪資,薪資中位數,仟元,2018,NaN
11825825,S,員工薪資,平均薪資,仟元,2018,507
11825825,S,員工薪資,薪資中位數,仟元,2018,NaN
11083148,S,員工薪資,平均薪資,仟元,2018,473
11083148,S,員工薪資,薪資中位數,仟元,2018,NaN
7435901,S,員工薪資,平均薪資,仟元,2018,561
7435901,S,員工薪資,薪資中位數,仟元,2018,NaN
11311608,S,員工薪資,平均薪資,仟元,2018,480
11311608,S,員工薪資,薪資中位數,仟元,2018,NaN
14001199,S,員工薪資,平均薪資,仟元,2018,562
14001199,S,員工薪資,薪資中位數,仟元,2018,NaN
11113403,S,員工薪資,平均薪資,仟元,2018,966
11113403,S,員工薪資,薪資中位數,仟元,2018,NaN
68919301,S,員工薪資,平均薪資,仟元,2018,543
68919301,S,員工薪資,薪資中位數,仟元,2018,NaN
51037304,S,員工薪資,平均薪資,仟元,2018,743
51037304,S,員工薪資,薪資中位數,仟元,2018,NaN
7663290,S,員工薪資,平均薪資,仟元,2018,515
7663290,S,員工薪資,薪資中位數,仟元,2018,NaN
7015014,S,員工薪資,平均薪資,仟元,2018,487
7015014,S,員工薪資,薪資中位數,仟元,2018,NaN
73641170,S,員工薪資,平均薪資,仟元,2018,555
73641170,S,員工薪資,薪資中位數,仟元,2018,NaN
33955322,S,員工薪資,平均薪資,仟元,2018,516
33955322,S,員工薪資,薪資中位數,仟元,2018,NaN
72055019,S,員工薪資,平均薪資,仟元,2018,438
72055019,S,員工薪資,薪資中位數,仟元,2018,NaN
22266307,S,員工薪資,平均薪資,仟元,2018,565
22266307,S,員工薪資,薪資中位數,仟元,2018,NaN
43121481,S,員工薪資,平均薪資,仟元,2018,585
43121481,S,員工薪資,薪資中位數,仟元,2018,NaN
4301794,S,員工薪資,平均薪資,仟元,2018,497
4301794,S,員工薪資,薪資中位數,仟元,2018,NaN
43295237,S,員工薪資,平均薪資,仟元,2018,579
43295237,S,員工薪資,薪資中位數,仟元,2018,NaN
7669338,S,員工薪資,平均薪資,仟元,2018,638
7669338,S,員工薪資,薪資中位數,仟元,2018,NaN
33653494,S,員工薪資,平均薪資,仟元,2018,458
33653494,S,員工薪資,薪資中位數,仟元,2018,NaN
22817999,S,員工薪資,平均薪資,仟元,2018,520
22817999,S,員工薪資,薪資中位數,仟元,2018,NaN
7715023,S,員工薪資,平均薪資,仟元,2018,536
7715023,S,員工薪資,薪資中位數,仟元,2018,NaN
73686632,S,員工薪資,平均薪資,仟元,2018,521
73686632,S,員工薪資,薪資中位數,仟元,2018,NaN
33700601,S,員工薪資,平均薪資,仟元,2018,493
33700601,S,員工薪資,薪資中位數,仟元,2018,NaN
22976047,S,員工薪資,平均薪資,仟元,2018,508
22976047,S,員工薪資,薪資中位數,仟元,2018,NaN
69559487,S,員工薪資,平均薪資,仟元,2018,510
69559487,S,員工薪資,薪資中位數,仟元,2018,NaN
36123364,S,員工薪資,平均薪資,仟元,2018,409
36123364,S,員工薪資,薪資中位數,仟元,2018,NaN
22267777,S,員工薪資,平均薪資,仟元,2018,559
22267777,S,員工薪資,薪資中位數,仟元,2018,NaN
7029919,S,員工薪資,平均薪資,仟元,2018,446
7029919,S,員工薪資,薪資中位數,仟元,2018,NaN
68919702,S,員工薪資,平均薪資,仟元,2018,552
68919702,S,員工薪資,薪資中位數,仟元,2018,NaN
58003997,S,員工薪資,平均薪資,仟元,2018,514
58003997,S,員工薪資,薪資中位數,仟元,2018,NaN
23912057,S,員工薪資,平均薪資,仟元,2018,665
23912057,S,員工薪資,薪資中位數,仟元,2018,NaN
35884479,S,員工薪資,平均薪資,仟元,2018,703
35884479,S,員工薪資,薪資中位數,仟元,2018,NaN
23609668,S,員工薪資,平均薪資,仟元,2018,1164
23609668,S,員工薪資,薪資中位數,仟元,2018,NaN
49744324,S,員工薪資,平均薪資,仟元,2018,948
49744324,S,員工薪資,薪資中位數,仟元,2018,NaN
16229261,S,員工薪資,平均薪資,仟元,2018,479
16229261,S,員工薪資,薪資中位數,仟元,2018,NaN
89620361,S,員工薪資,平均薪資,仟元,2018,770
89620361,S,員工薪資,薪資中位數,仟元,2018,NaN
58003997,G,,資本額,元,2020,1298969690
58003997,G,,資本額,元,2019,1298969690
22976047,G,,資本額,元,2020,1111573200
22976047,G,,資本額,元,2019,1111573200
35286207,G,,資本額,元,2020,630000000
35286207,G,,資本額,元,2019,630000000
36123364,G,,資本額,元,2020,1900000000
36123364,G,,資本額,元,2019,1900000000
23912057,G,,資本額,元,2020,660167490
23912057,G,,資本額,元,2019,660167490
43295237,G,,資本額,元,2020,5316883800
43295237,G,,資本額,元,2019,5316883800
22927617,G,,資本額,元,2020,2237279020
22927617,G,,資本額,元,2019,2237279020
35884479,G,,資本額,元,2020,2743671110
35884479,G,,資本額,元,2019,2743671110
33955322,G,,資本額,元,2020,9144872420
33955322,G,,資本額,元,2019,9144872420
69559487,G,,資本額,元,2020,2336246670
69559487,G,,資本額,元,2019,2336246670
11083148,G,,資本額,元,2020,568343090
11083148,G,,資本額,元,2019,568343090
11113403,G,,資本額,元,2020,920000000
11113403,G,,資本額,元,2019,920000000
35082604,G,,資本額,元,2020,5450703820
35082604,G,,資本額,元,2019,5450703820
23609668,G,,資本額,元,2020,2418565810
23609668,G,,資本額,元,2019,2418565810
54332940,G,,資本額,元,2020,600480000
54332940,G,,資本額,元,2019,600480000
89620361,G,,資本額,元,2020,1033752920
89620361,G,,資本額,元,2019,1033752920
43121481,G,,資本額,元,2020,1326414000
43121481,G,,資本額,元,2019,1326414000
22267777,G,,資本額,元,2020,857670000
22267777,G,,資本額,元,2019,857670000
33653494,G,,資本額,元,2020,3586289000
33653494,G,,資本額,元,2019,3586289000
33700601,G,,資本額,元,2020,1036072670
33700601,G,,資本額,元,2019,1036072670
11825825,G,,資本額,元,2020,1899418400
11825825,G,,資本額,元,2019,1899418400
11311608,G,,資本額,元,2020,1384000000
11311608,G,,資本額,元,2019,1384000000
51037304,G,,資本額,元,2020,1008000000
51037304,G,,資本額,元,2019,1008000000
49744324,G,,資本額,元,2020,8189149490
49744324,G,,資本額,元,2019,8189149490
88121697,G,,資本額,元,2020,3560852000
88121697,G,,資本額,元,2019,3560852000
22817999,G,,資本額,元,2020,3946434840
22817999,G,,資本額,元,2019,3946434840
72055019,G,,資本額,元,2020,880825000
72055019,G,,資本額,元,2019,880825000
73686632,G,,資本額,元,2020,3845656520
73686632,G,,資本額,元,2019,3845656520
68919301,G,,資本額,元,2020,16568158570
68919301,G,,資本額,元,2019,16568158570
68919702,G,,資本額,元,2020,1471535340
68919702,G,,資本額,元,2019,1471535340
73641170,G,,資本額,元,2020,1377095130
73641170,G,,資本額,元,2019,1377095130
73141105,G,,資本額,元,2020,2200000000
73141105,G,,資本額,元,2019,2200000000
22266307,G,,資本額,元,2020,1980000000
22266307,G,,資本額,元,2019,1980000000
14001199,G,,資本額,元,2020,16846646370
14001199,G,,資本額,元,2019,16846646370
16229261,G,,資本額,元,2020,1726771980
16229261,G,,資本額,元,2019,1726771980
3522600,G,收入、成本與淨利,營業收入,仟元,2020,206769281
3522600,G,收入、成本與淨利,營業成本,仟元,2020,166373605
3522600,G,收入、成本與淨利,營業費用,仟元,2020,30393920
3522600,G,收入、成本與淨利,淨利,仟元,2020,12980539
35082604,G,收入、成本與淨利,營業收入,仟元,2020,5971430
35082604,G,收入、成本與淨利,營業成本,仟元,2020,5657412
35082604,G,收入、成本與淨利,營業費用,仟元,2020,688085
35082604,G,收入、成本與淨利,淨利,仟元,2020,3789
7435515,G,收入、成本與淨利,營業收入,仟元,2020,32128967
7435515,G,收入、成本與淨利,營業成本,仟元,2020,NaN
7435515,G,收入、成本與淨利,營業費用,仟元,2020,3277623
7435515,G,收入、成本與淨利,淨利,仟元,2020,3639884
35286207,G,收入、成本與淨利,營業收入,仟元,2020,416256
35286207,G,收入、成本與淨利,營業成本,仟元,2020,264604
35286207,G,收入、成本與淨利,營業費用,仟元,2020,64171
35286207,G,收入、成本與淨利,淨利,仟元,2020,62551
7220710,G,收入、成本與淨利,營業收入,仟元,2020,1558963
7220710,G,收入、成本與淨利,營業成本,仟元,2020,1631827
7220710,G,收入、成本與淨利,營業費用,仟元,2020,91203
7220710,G,收入、成本與淨利,淨利,仟元,2020,-162038
73141105,G,收入、成本與淨利,營業收入,仟元,2020,702471
73141105,G,收入、成本與淨利,營業成本,仟元,2020,639587
73141105,G,收入、成本與淨利,營業費用,仟元,2020,74982
73141105,G,收入、成本與淨利,淨利,仟元,2020,58588
11825825,G,收入、成本與淨利,營業收入,仟元,2020,1035869
11825825,G,收入、成本與淨利,營業成本,仟元,2020,812289
11825825,G,收入、成本與淨利,營業費用,仟元,2020,582092
11825825,G,收入、成本與淨利,淨利,仟元,2020,-353043
11083148,G,收入、成本與淨利,營業收入,仟元,2020,100142
11083148,G,收入、成本與淨利,營業成本,仟元,2020,285696
11083148,G,收入、成本與淨利,營業費用,仟元,2020,61709
11083148,G,收入、成本與淨利,淨利,仟元,2020,-228235
7435901,G,收入、成本與淨利,營業收入,仟元,2020,2149213
7435901,G,收入、成本與淨利,營業成本,仟元,2020,1526091
7435901,G,收入、成本與淨利,營業費用,仟元,2020,459573
7435901,G,收入、成本與淨利,淨利,仟元,2020,364492
11311608,G,收入、成本與淨利,營業收入,仟元,2020,202723
11311608,G,收入、成本與淨利,營業成本,仟元,2020,349979
11311608,G,收入、成本與淨利,營業費用,仟元,2020,50130
11311608,G,收入、成本與淨利,淨利,仟元,2020,354023
14001199,G,收入、成本與淨利,營業收入,仟元,2020,28783492
14001199,G,收入、成本與淨利,營業成本,仟元,2020,25770665
14001199,G,收入、成本與淨利,營業費用,仟元,2020,2436481
14001199,G,收入、成本與淨利,淨利,仟元,2020,2095306
11113403,G,收入、成本與淨利,營業收入,仟元,2020,113119
11113403,G,收入、成本與淨利,營業成本,仟元,2020,114888
11113403,G,收入、成本與淨利,營業費用,仟元,2020,28452
11113403,G,收入、成本與淨利,淨利,仟元,2020,-243523
