統編,分類,子分類,項目,來自公司報告,單位,年份,數值
33029464,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
33029464,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
03213392,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
03213392,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
11099726,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
11099726,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
20982120,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
20982120,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
11551634,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
11551634,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
34211074,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
34211074,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
22224692,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
22224692,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
29538509,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
29538509,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
84252401,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
84252401,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
52646207,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
52646207,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
52903090,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
52903090,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
55754185,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
55754185,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
52353530,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
52353530,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
41048746,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
41048746,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
23503047,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
23503047,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
23603284,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
23603284,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
29168533,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
29168533,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
22301178,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
22301178,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
50721361,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
50721361,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
28919500,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
28919500,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
23019109,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
23019109,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
24262159,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
24262159,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
85282254,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
85282254,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
23830154,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
23830154,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
70647919,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
70647919,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
12486062,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
12486062,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
