統編,年份,Tot數值,Tot變化,是承諾值
84149738,2013,2410037.96,102.57,
84149738,2014,2465127.09,104.92,
84149738,2015,2470361.1,105.14,
84149738,2016,2538218.36,108.03,
84149738,2017,2692688.27,114.6,
84149738,2018,2713369.56,115.48,
84149738,2019,2349590.2,100,
84149738,2020,2262801.49,96.31,
84149738,2021,3229464.29,137.45,T
84149738,2022,3100285.71,131.95,T
84149738,2023,2971107.14,126.45,T
84149738,2024,2841928.57,120.95,T
84149738,2025,2712750,115.46,T
84149738,2026,2604240,110.84,T
84149738,2027,2495730,106.22,T
84149738,2028,2387220,101.6,T
84149738,2029,2278710,96.98,T
84149738,2030,2170200,92.37,T
84149738,2031,2061690,87.75,T
84149738,2032,1953180,83.13,T
84149738,2033,1844670,78.51,T
84149738,2034,1736160,73.89,T
84149738,2035,1627650,69.27,T
84149738,2036,1519140,64.66,T
84149738,2037,1410630,60.04,T
84149738,2038,1302120,55.42,T
84149738,2039,1193610,50.8,T
84149738,2040,1085100,46.18,T
84149738,2041,976590,41.56,T
84149738,2042,868080,36.95,T
84149738,2043,759570,32.33,T
84149738,2044,651060,27.71,T
84149738,2045,542550,23.09,T
84149738,2046,434040,18.47,T
84149738,2047,325530,13.85,T
84149738,2048,217020,9.24,T
84149738,2049,108510,4.62,T
84149738,2050,0,0,T
70750217,2017,80606.63,84.36,
70750217,2018,75421.29,78.94,
70750217,2019,95545.76,100,
70750217,2020,77963.55,81.6,
70750217,2021,93978.26,98.36,T
70750217,2022,91267.35,95.52,T
70750217,2023,88556.43,92.68,T
70750217,2024,85845.52,89.85,T
70750217,2025,83134.61,87.01,T
70750217,2026,80423.7,84.17,T
70750217,2027,77712.79,81.34,T
70750217,2028,75001.88,78.5,T
70750217,2029,72290.97,75.66,T
70750217,2030,69580.06,72.82,T
70750217,2031,67592.05,70.74,T
70750217,2032,65604.05,68.66,T
70750217,2033,63616.05,66.58,T
70750217,2034,61628.05,64.5,T
70750217,2035,59640.05,62.42,T
70750217,2036,57652.05,60.34,T
70750217,2037,55664.04,58.26,T
70750217,2038,53676.04,56.18,T
70750217,2039,51688.04,54.1,T
70750217,2040,49700.04,52.02,T
70750217,2041,46718.04,48.9,T
70750217,2042,43736.04,45.77,T
70750217,2043,40754.03,42.65,T
70750217,2044,37772.03,39.53,T
70750217,2045,34790.03,36.41,T
70750217,2046,31808.03,33.29,T
70750217,2047,28826.02,30.17,T
70750217,2048,25844.02,27.05,T
70750217,2049,22862.02,23.93,T
70750217,2050,19880.02,20.81,T
22099890,2013,38247.96,222.79,
22099890,2014,37459.43,218.19,
22099890,2015,37577.03,218.88,
22099890,2016,32304.2,188.17,
22099890,2017,21331.67,124.25,
22099890,2018,19630.84,114.35,
22099890,2019,17167.89,100,
22099890,2020,16009.29,93.25,
22099890,2021,45995.8,267.92,T
22099890,2022,36796.64,214.33,T
22099890,2023,27597.48,160.75,T
22099890,2024,18398.32,107.17,T
22099890,2025,9199.16,53.58,T
22099890,2026,8585.88,50.01,T
22099890,2027,7972.61,46.44,T
22099890,2028,7359.33,42.87,T
22099890,2029,6746.05,39.29,T
22099890,2030,6132.77,35.72,T
22099890,2031,5519.5,32.15,T
22099890,2032,4906.22,28.58,T
22099890,2033,4292.94,25.01,T
22099890,2034,3679.66,21.43,T
22099890,2035,3066.39,17.86,T
22099890,2036,2453.11,14.29,T
22099890,2037,1839.83,10.72,T
22099890,2038,1226.55,7.14,T
22099890,2039,613.28,3.57,T
22099890,2040,0,0,T
