統編,分類,子分類,項目,來自公司報告,單位,年份,數值
22100398,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2010,87573.41
22100398,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2010,102722.69
22100398,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2010,190296.1
55991080,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2010,6475.110000000001
55991080,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2010,179709.92
55991080,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2010,186185.03000000003
22100398,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,583.8800000000024
22100398,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,101154.42
22100398,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2011,101738.3
55991080,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,454.2900000000009
55991080,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,56733.27
55991080,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2011,57187.56
55991080,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2012,417.95000000000437
55991080,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2012,61119.84
55991080,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2012,61537.79
22100398,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,696386.07
22100398,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,94005.29000000001
22100398,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,790391.36
84149385,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,40922.23000000001
84149385,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,398553.03
84149385,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,439475.26
22100398,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,32268.920000000006
22100398,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,78137.69
22100398,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,110406.61000000002
84149385,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,45450.29000000001
84149385,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,406360.87
84149385,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,451811.16000000003
22100398,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,3.430000000000291
22100398,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,16611.5
22100398,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,16614.93
84149385,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,45431.880000000005
84149385,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,424787.86
84149385,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,470219.74
84149385,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,59603.889999999956
84149385,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,436077.08
