統編,分類,子分類,項目,來自公司報告,單位,年份,數值
04388145,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,9045.719999999987
04388145,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,126084.24
04388145,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2011,135129.96
70584724,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,107780.11
70584724,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,114915.55
70584724,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,222695.66
04388145,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,39019.28999999998
04388145,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,281733
04388145,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,320752.29
70584724,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,83025.33
70584724,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,126407.42
70584724,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,209432.75
04388145,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,39540.17999999999
04388145,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,303817.19
04388145,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,343357.37
70584724,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,121421.26999999999
70584724,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,258893.17
70584724,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,380314.44
04388145,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,40317.060000000056
04388145,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,323179.22
04388145,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,363496.28
70584724,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,96920.32
70584724,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,180245.89
70584724,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,277166.21
04388145,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,45515.96000000002
04388145,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,361367.55
04388145,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,406883.51
70584724,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,88746.69999999998
70584724,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,173094.42
70584724,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,261841.12
04388145,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,43660.34999999998
04388145,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,360573.34
04388145,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,404233.69
70584724,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,96003.18999999997
70584724,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,182442.92
70584724,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,278446.11
04388145,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,47951.169999999984
04388145,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,341839.51
04388145,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,389790.68
70584724,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,95664.16000000003
70584724,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,174880.74
70584724,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,270544.9
04388145,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,43882.619999999995
04388145,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,332030.03
04388145,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,375912.65
70584724,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,389.46299999999997
70584724,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,17.684
70584724,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,2.1390000000000002
70584724,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.177
04388145,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,47.769000000000005
04388145,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,25.63
04388145,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,2.5020000000000002
04388145,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.76
70584724,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,485.27000000000004
70584724,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,52.89000000000001
70584724,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,6.884999999999999
70584724,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,5.775999999999999
04388145,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,160.07
04388145,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,12.774
04388145,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,12.110000000000001
04388145,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,4.832000000000001
70584724,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,623.6759999999999
70584724,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,122.61000000000001
70584724,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,4.164000000000001
70584724,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,6.339
04388145,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,120.46199999999999
04388145,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,7.754
04388145,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,5.1080000000000005
04388145,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,3.862
70584724,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,492.1620000000001
70584724,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,95.329
70584724,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,5.432999999999998
70584724,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,8.381
04388145,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,240.258
04388145,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,18.757
04388145,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,10.084
04388145,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,9.379999999999999
70584724,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,163.76499999999993
70584724,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,37.488
70584724,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1.4529999999999998
70584724,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,2.708
04388145,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,224.962
04388145,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,7.746999999999999
04388145,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,7.146
04388145,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,3.7550000000000003
70584724,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,241.219
70584724,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,73.67599999999999
70584724,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,2.0829999999999997
70584724,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,17.942
04388145,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,252.854
04388145,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,19.883000000000003
