統編,分類,子分類,項目,來自公司報告,單位,年份,數值
42818882,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,186018.71000000002
42818882,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,31187.86
42818882,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,217206.57
42818882,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,202106.61
42818882,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,14401.75
42818882,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,216508.36
42818882,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,245245.37
42818882,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,11484.86
42818882,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,256730.22999999998
42818882,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,481.032
42818882,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,543.107
42818882,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,15.825999999999999
42818882,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,4.621
42818882,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,665.323
42818882,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,679.151
42818882,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,21.443
42818882,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,7.5329999999999995
42818882,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,878.9089999999999
42818882,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1167.651
42818882,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,23.879999999999995
42818882,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,9.581
42818882,E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,306.59000000000003
42818882,E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,120.53900000000002
42818882,E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,21.021
42818882,E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,5.273000000000001
