統編,年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
23218395,2020,579292.96,96.15,239075.27,95.7,340217.69,96.46,
23218395,2019,602504.05,100,249808.54,100,352695.51,100,
23218395,2018,682538.08,113.28,290430.03,116.26,392108.05,111.17,
23218395,2017,728856.47,120.97,307090.82,122.93,421765.65,119.58,
23218395,2016,648669.91,107.66,279589.65,111.92,369080.26,104.65,
23218395,2015,553965.56,91.94,232728.38,93.16,321237.18,91.08,
23218395,2014,652454.58,108.29,280140.34,112.14,372314.24,105.56,
23218395,2013,647033.51,107.39,281080,112.52,365953.51,103.76,
23218395,2021,529438.46,87.87,216403.42,86.63,313035.04,88.76,T
23218395,2022,479583.95,79.6,193731.57,77.55,285852.38,81.05,T
23218395,2023,429729.45,71.32,171059.72,68.48,258669.73,73.34,T
23218395,2024,379874.95,63.05,148387.87,59.4,231487.08,65.63,T
23218395,2025,330020.44,54.77,125716.02,50.32,204304.42,57.93,T
23218395,2026,280165.94,46.5,103044.17,41.25,177121.77,50.22,T
23218395,2027,230311.44,38.23,80372.32,32.17,149939.12,42.51,T
23218395,2028,180456.93,29.95,57700.47,23.1,122756.46,34.81,T
23218395,2029,130602.43,21.68,35028.62,14.02,95573.81,27.1,T
23218395,2030,80747.93,13.4,12356.77,4.95,68391.16,19.39,T
23218395,2031,30893.42,5.13,0,0,41208.5,11.68,T
23218395,2032,0,0,0,0,14025.85,3.98,T
23218395,2033,0,0,0,0,0,0,T
23218395,2034,0,0,0,0,0,0,T
23218395,2035,0,0,0,0,0,0,T
23218395,2036,0,0,0,0,0,0,T
23218395,2037,0,0,0,0,0,0,T
23218395,2038,0,0,0,0,0,0,T
23218395,2039,0,0,0,0,0,0,T
23218395,2040,0,0,0,0,0,0,T
23218395,2041,0,0,0,0,0,0,T
23218395,2042,0,0,0,0,0,0,T
23218395,2043,0,0,0,0,0,0,T
23218395,2044,0,0,0,0,0,0,T
23218395,2045,0,0,0,0,0,0,T
23218395,2046,0,0,0,0,0,0,T
23218395,2047,0,0,0,0,0,0,T
23218395,2048,0,0,0,0,0,0,T
23218395,2049,0,0,0,0,0,0,T
23218395,2050,0,0,0,0,0,0,T
30414175,2020,19586586.66,90.85,18318428.44,90.01,1268158.22,104.95,
30414175,2019,21560150.4,100,20351815.49,100,1208334.91,100,
30414175,2018,22114805.84,102.57,20805770.66,102.23,1309035.18,108.33,
30414175,2017,21321685.31,98.89,20006804.48,98.3,1314880.83,108.82,
30414175,2016,22337642.14,103.61,21042990.05,103.4,1294652.09,107.14,
30414175,2015,21286483.14,98.73,20018158.35,98.36,1268324.79,104.96,
30414175,2014,20565970.65,95.39,19380125.55,95.23,1185845.1,98.14,
30414175,2013,20888581.14,96.89,19630616.9,96.46,1257964.24,104.11,
30414175,2021,19008220.44,88.16,17755636.43,87.24,1252584.02,103.66,T
30414175,2022,18429854.23,85.48,17192844.41,84.48,1237009.81,102.37,T
30414175,2023,17851488.01,82.8,16630052.4,81.71,1221435.61,101.08,T
30414175,2024,17273121.79,80.12,16067260.39,78.95,1205861.41,99.8,T
30414175,2025,16694755.58,77.43,15504468.37,76.18,1190287.2,98.51,T
30414175,2026,16116389.36,74.75,14941676.36,73.42,1174713,97.22,T
30414175,2027,15538023.14,72.07,14378884.35,70.65,1159138.8,95.93,T
30414175,2028,14959656.93,69.39,13816092.33,67.89,1143564.59,94.64,T
30414175,2029,14381290.71,66.7,13253300.32,65.12,1127990.39,93.35,T
30414175,2030,13802924.49,64.02,12690508.31,62.36,1112416.19,92.06,T
30414175,2031,13224558.28,61.34,12127716.29,59.59,1096841.98,90.77,T
30414175,2032,12646192.06,58.66,11564924.28,56.83,1081267.78,89.48,T
30414175,2033,12067825.84,55.97,11002132.27,54.06,1065693.58,88.2,T
30414175,2034,11489459.63,53.29,10439340.25,51.29,1050119.37,86.91,T
30414175,2035,10911093.41,50.61,9876548.24,48.53,1034545.17,85.62,T
30414175,2036,10332727.19,47.93,9313756.23,45.76,1018970.97,84.33,T
30414175,2037,9754360.98,45.24,8750964.21,43,1003396.76,83.04,T
30414175,2038,9175994.76,42.56,8188172.2,40.23,987822.56,81.75,T
30414175,2039,8597628.54,39.88,7625380.19,37.47,972248.36,80.46,T
30414175,2040,8019262.33,37.19,7062588.17,34.7,956674.15,79.17,T
30414175,2041,7440896.11,34.51,6499796.16,31.94,941099.95,77.88,T
30414175,2042,6862529.89,31.83,5937004.15,29.17,925525.75,76.6,T
30414175,2043,6284163.68,29.15,5374212.13,26.41,909951.54,75.31,T
30414175,2044,5705797.46,26.46,4811420.12,23.64,894377.34,74.02,T
30414175,2045,5127431.24,23.78,4248628.11,20.88,878803.14,72.73,T
30414175,2046,4549065.03,21.1,3685836.09,18.11,863228.93,71.44,T
30414175,2047,3970698.81,18.42,3123044.08,15.35,847654.73,70.15,T
30414175,2048,3392332.59,15.73,2560252.07,12.58,832080.53,68.86,T
30414175,2049,2813966.38,13.05,1997460.05,9.81,816506.32,67.57,T
30414175,2050,2235600.16,10.37,1434668.04,7.05,800932.12,66.28,T
55389357,2020,762530.96,106.8,251942.46,110.69,510588.5,104.98,
55389357,2019,713996.01,100,227615.37,100,486380.64,100,
55389357,2018,771274.23,108.02,233532.1,102.6,537742.13,110.56,
55389357,2017,790755.8,110.75,273457.83,120.14,517297.97,106.36,
55389357,2016,775547.43,108.62,291501.61,128.07,484045.82,99.52,
55389357,2015,778413.22,109.02,294479.55,129.38,483933.67,99.5,
55389357,2014,807806.6,113.14,302780.09,133.02,505026.51,103.83,
55389357,2013,791594.26,110.87,301818.04,132.6,489776.22,100.7,
55389357,2021,753122.68,105.48,244770.67,107.54,508352.01,104.52,T
55389357,2022,743714.4,104.16,237598.88,104.39,506115.52,104.06,T
55389357,2023,734306.12,102.84,230427.09,101.24,503879.03,103.6,T
55389357,2024,724897.84,101.53,223255.3,98.08,501642.54,103.14,T
55389357,2025,715489.56,100.21,216083.51,94.93,499406.05,102.68,T
55389357,2026,706081.28,98.89,208911.72,91.78,497169.56,102.22,T
55389357,2027,696673,97.57,201739.93,88.63,494933.07,101.76,T
55389357,2028,687264.72,96.26,194568.14,85.48,492696.58,101.3,T
55389357,2029,677856.44,94.94,187396.35,82.33,490460.09,100.84,T
55389357,2030,668448.16,93.62,180224.56,79.18,488223.6,100.38,T
55389357,2031,659039.88,92.3,173052.77,76.03,485987.11,99.92,T
