統編,年份,Tot數值,Tot變化,是推估值
47217677,2019,1830313,100,
47217677,2020,1788459.7,97.71,T
47217677,2021,1746606.41,95.43,T
47217677,2022,1704753.11,93.14,T
47217677,2023,1662899.82,90.85,T
47217677,2024,1621046.52,88.57,T
47217677,2025,1579193.23,86.28,T
47217677,2026,1537339.93,83.99,T
47217677,2027,1495486.64,81.71,T
47217677,2028,1453633.34,79.42,T
47217677,2029,1411780.05,77.13,T
47217677,2030,1369926.75,74.85,
47217677,2031,1301430.41,71.1,T
47217677,2032,1232934.08,67.36,T
47217677,2033,1164437.74,63.62,T
47217677,2034,1095941.4,59.88,T
47217677,2035,1027445.06,56.13,T
47217677,2036,958948.73,52.39,T
47217677,2037,890452.39,48.65,T
47217677,2038,821956.05,44.91,T
47217677,2039,753459.71,41.17,T
47217677,2040,684963.38,37.42,T
47217677,2041,616467.04,33.68,T
47217677,2042,547970.7,29.94,T
47217677,2043,479474.36,26.2,T
47217677,2044,410978.03,22.45,T
47217677,2045,342481.69,18.71,T
47217677,2046,273985.35,14.97,T
47217677,2047,205489.01,11.23,T
47217677,2048,136992.68,7.48,T
47217677,2049,68496.34,3.74,T
47217677,2050,0,0,
22099131,2019,8351988,100,
22099131,2020,8423682.55,100.86,T
22099131,2021,8495377.09,101.72,T
22099131,2022,8567071.64,102.58,T
22099131,2023,8638766.18,103.43,T
22099131,2024,8710460.73,104.29,T
22099131,2025,8782155.27,105.15,T
22099131,2026,8853849.82,106.01,T
22099131,2027,8925544.36,106.87,T
22099131,2028,8997238.91,107.73,T
22099131,2029,9068933.45,108.58,T
22099131,2030,9140628,109.44,
22099131,2031,8683596.6,103.97,T
22099131,2032,8226565.2,98.5,T
22099131,2033,7769533.8,93.03,T
22099131,2034,7312502.4,87.55,T
22099131,2035,6855471,82.08,T
22099131,2036,6398439.6,76.61,T
22099131,2037,5941408.2,71.14,T
22099131,2038,5484376.8,65.67,T
22099131,2039,5027345.4,60.19,T
22099131,2040,4570314,54.72,T
22099131,2041,4113282.6,49.25,T
22099131,2042,3656251.2,43.78,T
22099131,2043,3199219.8,38.3,T
22099131,2044,2742188.4,32.83,T
22099131,2045,2285157,27.36,T
22099131,2046,1828125.6,21.89,T
22099131,2047,1371094.2,16.42,T
22099131,2048,914062.8,10.94,T
22099131,2049,457031.4,5.47,T
22099131,2050,0,0,
22099548,2019,422000,100,
22099548,2020,421715.18,99.93,T
22099548,2021,421430.35,99.87,T
22099548,2022,421145.53,99.8,T
22099548,2023,420860.7,99.73,T
22099548,2024,420575.88,99.66,T
22099548,2025,420291.06,99.6,
22099548,2026,415403.95,98.44,T
22099548,2027,410516.85,97.28,T
22099548,2028,405629.74,96.12,T
22099548,2029,400742.63,94.96,T
22099548,2030,395855.53,93.8,
22099548,2031,390968.42,92.65,T
22099548,2032,386081.32,91.49,T
22099548,2033,381194.21,90.33,T
22099548,2034,376307.11,89.17,T
22099548,2035,371420,88.01,
22099548,2036,366532.9,86.86,T
22099548,2037,361645.79,85.7,T
22099548,2038,356758.69,84.54,T
22099548,2039,351871.58,83.38,T
22099548,2040,346984.48,82.22,
22099548,2041,342097.37,81.07,T
22099548,2042,337210.27,79.91,T
22099548,2043,332323.16,78.75,T
22099548,2044,327436.06,77.59,T
22099548,2045,322548.95,76.43,
22099548,2046,317661.84,75.28,T
22099548,2047,312774.74,74.12,T
22099548,2048,307887.63,72.96,T
22099548,2049,303000.53,71.8,T
22099548,2050,298113.42,70.64,
22099218,2019,334696,100,
22099218,2020,315761.6,94.34,T
22099218,2021,296827.2,88.69,T
22099218,2022,277892.8,83.03,T
22099218,2023,258958.4,77.37,T
22099218,2024,240024,71.71,T
22099218,2025,221089.6,66.06,T
22099218,2026,202155.2,60.4,T
22099218,2027,183220.8,54.74,T
22099218,2028,164286.4,49.09,T
22099218,2029,145352,43.43,T
22099218,2030,126417.6,37.77,
22099218,2031,120096.72,35.88,T
22099218,2032,113775.84,33.99,T
22099218,2033,107454.96,32.11,T
22099218,2034,101134.08,30.22,T
22099218,2035,94813.2,28.33,T
22099218,2036,88492.32,26.44,T
22099218,2037,82171.44,24.55,T
22099218,2038,75850.56,22.66,T
22099218,2039,69529.68,20.77,T
22099218,2040,63208.8,18.89,T
22099218,2041,56887.92,17,T
22099218,2042,50567.04,15.11,T
22099218,2043,44246.16,13.22,T
22099218,2044,37925.28,11.33,T
22099218,2045,31604.4,9.44,T
22099218,2046,25283.52,7.55,T
22099218,2047,18962.64,5.67,T
22099218,2048,12641.76,3.78,T
22099218,2049,6320.88,1.89,T
22099218,2050,0,0,
89390656,2019,478722,100,
89390656,2020,467229.82,97.6,T
89390656,2021,455737.64,95.2,T
89390656,2022,444245.45,92.8,T
89390656,2023,432753.27,90.4,T
89390656,2024,421261.09,88,T
89390656,2025,409768.91,85.6,T
89390656,2026,398276.73,83.2,T
89390656,2027,386784.55,80.8,T
89390656,2028,375292.36,78.39,T
89390656,2029,363800.18,75.99,T
89390656,2030,352308,73.59,
