統編,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
86871981,2039,240219.76,37.29,225657.47,37.75,14562.29,31.41,T
86871981,2040,221495.88,34.39,208410.75,34.86,13085.13,28.23,T
86871981,2041,202772.01,31.48,191164.04,31.98,11607.97,25.04,T
86871981,2042,184048.14,28.57,173917.33,29.09,10130.81,21.85,T
86871981,2043,165324.26,25.67,156670.61,26.21,8653.65,18.67,T
86871981,2044,146600.39,22.76,139423.9,23.32,7176.49,15.48,T
86871981,2045,127876.52,19.85,122177.19,20.44,5699.33,12.29,T
86871981,2046,109152.64,16.95,104930.47,17.55,4222.17,9.11,T
86871981,2047,90428.77,14.04,87683.76,14.67,2745.01,5.92,T
86871981,2048,71704.9,11.13,70437.05,11.78,1267.85,2.74,T
86871981,2049,52981.02,8.23,53190.33,8.9,0,0,T
86871981,2050,34257.15,5.32,35943.62,6.01,0,0,T
89528054,2020,98761.91,98.64,88985.97,98.73,9775.94,97.84,
89528054,2019,100120.27,100,90128.85,100,9991.42,100,
89528054,2018,118992.59,118.85,108593.33,120.49,10399.26,104.08,
89528054,2017,109320.2,109.19,98409.8,109.19,10910.4,109.2,
89528054,2016,127794.93,127.64,115984.07,128.69,11810.86,118.21,
89528054,2015,130986.87,130.83,118425.16,131.4,12561.71,125.72,
89528054,2014,127783.74,127.63,115165.71,127.78,12618.03,126.29,
89528054,2021,95242.48,95.13,85844.69,95.25,9397.79,94.06,T
89528054,2022,91723.05,91.61,82703.42,91.76,9019.63,90.27,T
89528054,2023,88203.62,88.1,79562.14,88.28,8641.48,86.49,T
89528054,2024,84684.19,84.58,76420.86,84.79,8263.33,82.7,T
89528054,2025,81164.76,81.07,73279.59,81.31,7885.17,78.92,T
89528054,2026,77645.33,77.55,70138.31,77.82,7507.02,75.13,T
89528054,2027,74125.9,74.04,66997.03,74.33,7128.87,71.35,T
89528054,2028,70606.47,70.52,63855.76,70.85,6750.71,67.57,T
89528054,2029,67087.04,67.01,60714.48,67.36,6372.56,63.78,T
89528054,2030,63567.61,63.49,57573.2,63.88,5994.41,60,T
89528054,2031,60048.18,59.98,54431.93,60.39,5616.25,56.21,T
89528054,2032,56528.75,56.46,51290.65,56.91,5238.1,52.43,T
89528054,2033,53009.32,52.95,48149.37,53.42,4859.95,48.64,T
89528054,2034,49489.89,49.43,45008.1,49.94,4481.79,44.86,T
89528054,2035,45970.46,45.92,41866.82,46.45,4103.64,41.07,T
89528054,2036,42451.03,42.4,38725.54,42.97,3725.49,37.29,T
89528054,2037,38931.6,38.88,35584.27,39.48,3347.33,33.5,T
89528054,2038,35412.17,35.37,32442.99,36,2969.18,29.72,T
