統編,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
12800225,2021,2952451.88,98.39,299267.03,86.09,2653184.85,100,
12800225,2020,2937171.66,97.88,318336.2,91.57,2618835.46,98.71,
12800225,2019,3000712.14,100,347630.76,100,2653081.38,100,
12800225,2018,3133890.31,104.44,365058.64,105.01,2768831.67,104.36,
12800225,2017,3110747.4,103.67,406622.82,116.97,2704124.58,101.92,
12800225,2016,2894527.07,96.46,440828.85,126.81,2453698.22,92.48,
12800225,2015,2845429.22,94.83,444640.2,127.91,2400789.02,90.49,
12800225,2014,2876438.23,95.86,491359.77,141.35,2385078.46,89.9,
12800225,2013,2881036.4,96.01,533811.95,153.56,2347224.45,88.47,
12800225,2022,2891972.4,96.38,277336.49,79.78,2614635.91,98.55,T
12800225,2023,2831492.93,94.36,255405.96,73.47,2576086.97,97.1,T
12800225,2024,2771013.45,92.35,233475.42,67.16,2537538.03,95.64,T
12800225,2025,2710533.97,90.33,211544.88,60.85,2498989.09,94.19,T
12800225,2026,2650054.5,88.31,189614.35,54.54,2460440.15,92.74,T
12800225,2027,2589575.02,86.3,167683.81,48.24,2421891.21,91.29,T
12800225,2028,2529095.54,84.28,145753.27,41.93,2383342.27,89.83,T
12800225,2029,2468616.07,82.27,123822.74,35.62,2344793.33,88.38,T
12800225,2030,2408136.59,80.25,101892.2,29.31,2306244.39,86.93,T
12800225,2031,2347657.11,78.24,79961.66,23,2267695.45,85.47,T
12800225,2032,2287177.64,76.22,58031.13,16.69,2229146.51,84.02,T
12800225,2033,2226698.16,74.21,36100.59,10.38,2190597.57,82.57,T
12800225,2034,2166218.68,72.19,14170.05,4.08,2152048.63,81.12,T
12800225,2035,2105739.21,70.17,0,0,2113499.69,79.66,T
12800225,2036,2045259.73,68.16,0,0,2074950.75,78.21,T
12800225,2037,1984780.25,66.14,0,0,2036401.81,76.76,T
12800225,2038,1924300.78,64.13,0,0,1997852.87,75.3,T
12800225,2039,1863821.3,62.11,0,0,1959303.93,73.85,T
12800225,2040,1803341.82,60.1,0,0,1920754.99,72.4,T
12800225,2041,1742862.35,58.08,0,0,1882206.05,70.94,T
12800225,2042,1682382.87,56.07,0,0,1843657.11,69.49,T
12800225,2043,1621903.39,54.05,0,0,1805108.17,68.04,T
12800225,2044,1561423.92,52.04,0,0,1766559.23,66.59,T
12800225,2045,1500944.44,50.02,0,0,1728010.29,65.13,T
12800225,2046,1440464.96,48,0,0,1689461.35,63.68,T
12800225,2047,1379985.49,45.99,0,0,1650912.41,62.23,T
12800225,2048,1319506.01,43.97,0,0,1612363.47,60.77,T
12800225,2049,1259026.53,41.96,0,0,1573814.53,59.32,T
12800225,2050,1198547.06,39.94,0,0,1535265.59,57.87,T
16432742,2021,248967.23,127.13,159644.72,143.03,89322.51,106.06,
16432742,2020,182118.64,92.99,101040.16,90.52,81078.48,96.27,
16432742,2019,195841.17,100,111620,100,84221.17,100,
16432742,2018,251578.53,128.46,161913.92,145.06,89664.61,106.46,
16432742,2017,338619.24,172.91,238907.47,214.04,99711.77,118.39,
16432742,2016,278256.61,142.08,185612.5,166.29,92644.11,110,
16432742,2015,66171.66,33.79,37037.99,33.18,29133.67,34.59,
16432742,2014,12227.21,6.24,164.4,0.15,12062.81,14.32,
16432742,2013,20643.74,10.54,18.98,0.02,20624.76,24.49,
16432742,2022,248096.8,126.68,158888.32,142.35,89208.48,105.92,T
16432742,2023,247226.36,126.24,158131.92,141.67,89094.44,105.79,T
16432742,2024,246355.93,125.79,157375.52,140.99,88980.41,105.65,T
16432742,2025,245485.5,125.35,156619.12,140.31,88866.38,105.52,T
16432742,2026,244615.06,124.9,155862.72,139.64,88752.34,105.38,T
16432742,2027,243744.63,124.46,155106.32,138.96,88638.31,105.24,T
16432742,2028,242874.2,124.02,154349.92,138.28,88524.28,105.11,T
16432742,2029,242003.76,123.57,153593.52,137.6,88410.24,104.97,T
16432742,2030,241133.33,123.13,152837.12,136.93,88296.21,104.84,T
16432742,2031,240262.9,122.68,152080.72,136.25,88182.18,104.7,T
16432742,2032,239392.46,122.24,151324.32,135.57,88068.14,104.57,T
16432742,2033,238522.03,121.79,150567.92,134.89,87954.11,104.43,T
16432742,2034,237651.6,121.35,149811.52,134.22,87840.08,104.3,T
16432742,2035,236781.16,120.9,149055.12,133.54,87726.04,104.16,T
16432742,2036,235910.73,120.46,148298.72,132.86,87612.01,104.03,T
16432742,2037,235040.3,120.02,147542.32,132.18,87497.98,103.89,T
16432742,2038,234169.86,119.57,146785.92,131.51,87383.94,103.76,T
16432742,2039,233299.43,119.13,146029.52,130.83,87269.91,103.62,T
16432742,2040,232429,118.68,145273.12,130.15,87155.88,103.48,T
16432742,2041,231558.56,118.24,144516.72,129.47,87041.84,103.35,T
16432742,2042,230688.13,117.79,143760.32,128.79,86927.81,103.21,T
16432742,2043,229817.7,117.35,143003.92,128.12,86813.78,103.08,T
16432742,2044,228947.26,116.9,142247.52,127.44,86699.74,102.94,T
16432742,2045,228076.83,116.46,141491.12,126.76,86585.71,102.81,T
16432742,2046,227206.4,116.02,140734.72,126.08,86471.68,102.67,T
16432742,2047,226335.96,115.57,139978.32,125.41,86357.64,102.54,T
16432742,2048,225465.53,115.13,139221.92,124.73,86243.61,102.4,T
16432742,2049,224595.1,114.68,138465.52,124.05,86129.58,102.27,T
16432742,2050,223724.66,114.24,137709.12,123.37,86015.54,102.13,T
16450500,2021,371450.37,101.3,106091.32,96.84,265359.05,103.2,
16450500,2020,376427.06,102.66,114784.62,104.78,261642.44,101.75,
16450500,2019,366685.94,100,109550.51,100,257135.43,100,
16450500,2018,359378.56,98.01,95022.69,86.74,264355.87,102.81,
16450500,2017,381423.65,104.02,107059.93,97.73,274363.72,106.7,
16450500,2016,344182.51,93.86,88360.9,80.66,255821.61,99.49,
16450500,2015,339658.11,92.63,88666.76,80.94,250991.35,97.61,
16450500,2014,356623.67,97.26,109107.93,99.6,247515.74,96.26,
16450500,2013,306515.99,83.59,111085.13,101.4,195430.86,76,
16450500,2022,375474.31,102.4,109780.86,100.21,265693.44,103.33,T
16450500,2023,379498.24,103.49,113470.41,103.58,266027.84,103.46,T
16450500,2024,383522.18,104.59,117159.95,106.95,266362.23,103.59,T
16450500,2025,387546.12,105.69,120849.49,110.31,266696.62,103.72,T
16450500,2026,391570.05,106.79,124539.04,113.68,267031.02,103.85,T
16450500,2027,395593.99,107.88,128228.58,117.05,267365.41,103.98,T
16450500,2028,399617.93,108.98,131918.12,120.42,267699.8,104.11,T
16450500,2029,403641.86,110.08,135607.67,123.79,268034.2,104.24,T
16450500,2030,407665.8,111.18,139297.21,127.15,268368.59,104.37,T
16450500,2031,411689.74,112.27,142986.75,130.52,268702.98,104.5,T
