年份,Tot數值,Tot變化,是推估值
2019,163752,100,
2020,163756.11,100,T
2021,163760.22,100.01,T
2022,163764.33,100.01,T
2023,163768.44,100.01,T
2024,163772.55,100.01,T
2025,163776.66,100.02,
