年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,376427.06,102.66,114784.62,104.78,261642.44,101.75,
2019,366685.94,100,109550.51,100,257135.43,100,
2018,359378.56,98.01,95022.69,86.74,264355.87,102.81,
2017,381423.65,104.02,107059.93,97.73,274363.72,106.7,
2016,344182.51,93.86,88360.9,80.66,255821.61,99.49,
2015,339658.11,92.63,88666.76,80.94,250991.35,97.61,
2014,356623.67,97.26,109107.93,99.6,247515.74,96.26,
2013,306515.99,83.59,111085.13,101.4,195430.86,76,
2021,374761.53,102.2,117359.52,107.13,257402.01,100.1,T
2022,373096,101.75,119934.41,109.48,253161.59,98.45,T
2023,371430.47,101.29,122509.31,111.83,248921.16,96.81,T
2024,369764.94,100.84,125084.21,114.18,244680.73,95.16,T
2025,368099.41,100.39,127659.1,116.53,240440.31,93.51,T
2026,366433.88,99.93,130234,118.88,236199.88,91.86,T
2027,364768.35,99.48,132808.9,121.23,231959.45,90.21,T
2028,363102.82,99.02,135383.79,123.58,227719.03,88.56,T
2029,361437.29,98.57,137958.69,125.93,223478.6,86.91,T
2030,359771.76,98.11,140533.59,128.28,219238.17,85.26,T
2031,358106.23,97.66,143108.48,130.63,214997.75,83.61,T
2032,356440.7,97.21,145683.38,132.98,210757.32,81.96,T
2033,354775.17,96.75,148258.28,135.33,206516.89,80.31,T
2034,353109.64,96.3,150833.17,137.68,202276.47,78.67,T
2035,351444.11,95.84,153408.07,140.03,198036.04,77.02,T
2036,349778.58,95.39,155982.97,142.38,193795.61,75.37,T
2037,348113.05,94.93,158557.86,144.73,189555.19,73.72,T
2038,346447.52,94.48,161132.76,147.09,185314.76,72.07,T
2039,344781.99,94.03,163707.66,149.44,181074.33,70.42,T
2040,343116.46,93.57,166282.55,151.79,176833.91,68.77,T
2041,341450.93,93.12,168857.45,154.14,172593.48,67.12,T
2042,339785.4,92.66,171432.35,156.49,168353.05,65.47,T
2043,338119.87,92.21,174007.24,158.84,164112.63,63.82,T
2044,336454.34,91.76,176582.14,161.19,159872.2,62.17,T
2045,334788.81,91.3,179157.04,163.54,155631.77,60.53,T
2046,333123.28,90.85,181731.93,165.89,151391.35,58.88,T
2047,331457.75,90.39,184306.83,168.24,147150.92,57.23,T
2048,329792.22,89.94,186881.73,170.59,142910.49,55.58,T
2049,328126.69,89.48,189456.62,172.94,138670.07,53.93,T
2050,326461.16,89.03,192031.52,175.29,134429.64,52.28,T
