年份,Tot數值,Tot變化,是推估值
2020,791000,109.1,
2021,759360,104.74,T
2022,727720,100.38,T
2023,696080,96.01,T
2024,664440,91.65,T
2025,632800,87.28,
2026,601160,82.92,T
2027,569520,78.55,T
2028,537880,74.19,T
2029,506240,69.83,T
2030,474600,65.46,
2031,450870,62.19,T
2032,427140,58.92,T
2033,403410,55.64,T
2034,379680,52.37,T
2035,355950,49.1,T
2036,332220,45.82,T
2037,308490,42.55,T
2038,284760,39.28,T
2039,261030,36,T
2040,237300,32.73,T
2041,213570,29.46,T
2042,189840,26.18,T
2043,166110,22.91,T
2044,142380,19.64,T
2045,118650,16.37,T
2046,94920,13.09,T
2047,71190,9.82,T
2048,47460,6.55,T
2049,23730,3.27,T
2050,0,0,
