分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,2036
S,員工薪資,薪資中位數,仟元,2020,1705
S,員工薪資,平均薪資,仟元,2019,2125
S,員工薪資,薪資中位數,仟元,2019,1756
S,員工薪資,平均薪資,仟元,2018,2201
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1340119000
G,,資本額,元,2019,1340119000
G,收入、成本與淨利,營業收入,仟元,2020,13569441
G,收入、成本與淨利,營業成本,仟元,2020,9498564
G,收入、成本與淨利,營業費用,仟元,2020,3106944
G,收入、成本與淨利,淨利,仟元,2020,850007
G,收入、成本與淨利,營業收入,仟元,2019,10710068
G,收入、成本與淨利,營業成本,仟元,2019,7180057
G,收入、成本與淨利,營業費用,仟元,2019,2832782
G,收入、成本與淨利,淨利,仟元,2019,633467
G,收入、成本與淨利,營業收入,仟元,2018,13459804
G,收入、成本與淨利,營業成本,仟元,2018,9442762
G,收入、成本與淨利,營業費用,仟元,2018,2920669
G,收入、成本與淨利,淨利,仟元,2018,988156
G,收入、成本與淨利,營業收入,仟元,2017,12160606
G,收入、成本與淨利,營業成本,仟元,2017,8995509
G,收入、成本與淨利,營業費用,仟元,2017,2234465
G,收入、成本與淨利,淨利,仟元,2017,854809
G,收入、成本與淨利,營業收入,仟元,2016,9290421
G,收入、成本與淨利,營業成本,仟元,2016,6900914
G,收入、成本與淨利,營業費用,仟元,2016,1766853
G,收入、成本與淨利,淨利,仟元,2016,551082
