分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2013,112793.44
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2013,112793.44
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2014,111790.72
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2014,111790.72
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2015,110413.13
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2015,110413.13
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2016,118853.94
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2016,118853.94
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2017,127199.92
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2017,127199.92
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2018,128245.65
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2018,128245.65
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2019,116092.77
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2019,116092.77
G,,資本額,元,2020,34051962420
G,,資本額,元,2019,34051962420
G,收入、成本與淨利,營業收入,仟元,2020,45684615
G,收入、成本與淨利,營業成本,仟元,2020,34692204
G,收入、成本與淨利,營業費用,仟元,2020,5460494
G,收入、成本與淨利,淨利,仟元,2020,3806477
G,收入、成本與淨利,營業收入,仟元,2019,35897121
G,收入、成本與淨利,營業成本,仟元,2019,32896453
G,收入、成本與淨利,營業費用,仟元,2019,5272132
G,收入、成本與淨利,淨利,仟元,2019,-2643184
