年份,Tot數值,Tot變化,是推估值
2019,50892.28,115.85,T
2020,48858.41,111.22,T
2021,46824.53,106.59,T
2022,44790.65,101.96,T
2023,42756.78,97.33,T
2024,40722.9,92.7,T
2025,38689.02,88.07,
