分類,子分類,項目,單位,年份,數值
G,,資本額,元,2020,162660000
G,,資本額,元,2019,162660000
G,收入、成本與淨利,營業收入,仟元,2020,676111
G,收入、成本與淨利,營業成本,仟元,2020,590287
G,收入、成本與淨利,營業費用,仟元,2020,127862
G,收入、成本與淨利,淨利,仟元,2020,-51610
G,收入、成本與淨利,營業收入,仟元,2019,607650
G,收入、成本與淨利,營業成本,仟元,2019,522749
G,收入、成本與淨利,營業費用,仟元,2019,133106
G,收入、成本與淨利,淨利,仟元,2019,-55888
G,收入、成本與淨利,營業收入,仟元,2018,626584
G,收入、成本與淨利,營業成本,仟元,2018,535474
G,收入、成本與淨利,營業費用,仟元,2018,133739
G,收入、成本與淨利,淨利,仟元,2018,-40088
G,收入、成本與淨利,營業收入,仟元,2017,722138
G,收入、成本與淨利,營業成本,仟元,2017,630931
G,收入、成本與淨利,營業費用,仟元,2017,133624
G,收入、成本與淨利,淨利,仟元,2017,-49321
G,收入、成本與淨利,營業收入,仟元,2016,931619
G,收入、成本與淨利,營業成本,仟元,2016,748528
G,收入、成本與淨利,營業費用,仟元,2016,139510
G,收入、成本與淨利,淨利,仟元,2016,25794
