年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,429871.42,89.3,424801.66,91.61,5069.76,28.7,
2019,481379.2,100,463712.99,100,17666.21,100,
2018,554465.44,115.18,520059.21,112.15,34406.23,194.76,
2017,455798.76,94.69,420605.92,90.7,35192.84,199.21,
2016,471038.86,97.85,439395.41,94.76,31643.45,179.12,
2015,459304.22,95.41,433326.49,93.45,25977.73,147.05,
2014,520341.71,108.09,478584.94,103.21,41756.77,236.37,
2021,421228.97,87.5,426200.24,91.91,0,0,T
2022,412586.53,85.71,427598.82,92.21,0,0,T
2023,403944.08,83.91,428997.4,92.51,0,0,T
2024,395301.63,82.12,430395.98,92.82,0,0,T
2025,386659.19,80.32,431794.56,93.12,0,0,T
2026,378016.74,78.53,433193.14,93.42,0,0,T
2027,369374.29,76.73,434591.72,93.72,0,0,T
2028,360731.85,74.94,435990.3,94.02,0,0,T
2029,352089.4,73.14,437388.88,94.32,0,0,T
2030,343446.95,71.35,438787.46,94.62,0,0,T
2031,334804.51,69.55,440186.04,94.93,0,0,T
2032,326162.06,67.76,441584.62,95.23,0,0,T
2033,317519.61,65.96,442983.2,95.53,0,0,T
2034,308877.17,64.17,444381.78,95.83,0,0,T
2035,300234.72,62.37,445780.36,96.13,0,0,T
2036,291592.27,60.57,447178.94,96.43,0,0,T
2037,282949.83,58.78,448577.52,96.74,0,0,T
2038,274307.38,56.98,449976.1,97.04,0,0,T
2039,265664.93,55.19,451374.68,97.34,0,0,T
2040,257022.49,53.39,452773.26,97.64,0,0,T
2041,248380.04,51.6,454171.84,97.94,0,0,T
2042,239737.59,49.8,455570.42,98.24,0,0,T
2043,231095.15,48.01,456969,98.55,0,0,T
2044,222452.7,46.21,458367.58,98.85,0,0,T
2045,213810.25,44.42,459766.16,99.15,0,0,T
2046,205167.81,42.62,461164.74,99.45,0,0,T
2047,196525.36,40.83,462563.32,99.75,0,0,T
2048,187882.91,39.03,463961.9,100.05,0,0,T
2049,179240.47,37.23,465360.48,100.36,0,0,T
2050,170598.02,35.44,466759.06,100.66,0,0,T
