年份,Tot數值,Tot變化,是承諾值
2020,613903.25,95.28,
2019,644292.75,100,
2018,694820.69,107.84,
2017,743659.61,115.42,
2016,669116.53,103.85,
2015,625430.47,97.07,
2014,686396.64,106.53,
2015,851824.0444444445,1.322107139098561,T
2016,832209.6749999999,1.29166388260616,T
2017,812595.3055555556,1.261220626113759,T
2018,792980.9361111111,1.2307773696213578,T
2019,773366.5666666667,1.2003341131289567,T
2020,753752.1972222222,1.1698908566365558,T
2021,734137.8277777778,1.1394476001441547,T
2022,714523.4583333333,1.1090043436517534,T
2023,694909.0888888888,1.0785610871593523,T
2024,675294.7194444445,1.0481178306669514,T
2025,655680.35,1.0176745741745503,T
2026,645592.96,1.0020180422641725,T
2027,635505.57,0.9863615103537948,T
2028,625418.18,0.9707049784434173,T
2029,615330.79,0.9550484465330396,T
2030,605243.4,0.9393919146226619,T
