年份,Tot數值,Tot變化,是推估值
2019,8289186.53,101.72,T
2020,8054106.22,98.84,T
2021,7819025.91,95.95,T
2022,7583945.6,93.07,T
2023,7348865.28,90.18,T
2024,7113784.97,87.3,T
2025,6878704.66,84.41,
2026,6672575.13,81.88,T
2027,6466445.6,79.35,T
2028,6260316.06,76.82,T
2029,6054186.53,74.29,T
2030,5848056.99,71.76,
2031,5555654.14,68.18,T
2032,5263251.29,64.59,T
2033,4970848.45,61,T
2034,4678445.6,57.41,T
2035,4386042.75,53.82,T
2036,4093639.9,50.23,T
2037,3801237.05,46.65,T
2038,3508834.2,43.06,T
2039,3216431.35,39.47,T
2040,2924028.5,35.88,T
2041,2631625.65,32.29,T
2042,2339222.8,28.71,T
2043,2046819.95,25.12,T
2044,1754417.1,21.53,T
2045,1462014.25,17.94,T
2046,1169611.4,14.35,T
2047,877208.55,10.76,T
2048,584805.7,7.18,T
2049,292402.85,3.59,T
2050,0,0,
