年份,Tot數值,Tot變化,是承諾值
2020,25633761.27,93.14,
2019,27521239.37,100,
2018,28430748.23,103.3,
2017,27252562.15,99.02,
2016,28291153.97,102.8,
2015,29527294.52,107.29,
2014,30094318.75,109.35,
2013,30443533.59,110.62,
2014,29101269.94111111,1.057411316033734,T
2015,28712310.075555556,1.0432782364755673,T
2016,28323350.21,1.0291451569174008,T
2017,27934390.344444443,1.0150120773592342,T
2018,27545430.478888888,1.0008789978010677,T
2019,27156470.613333333,0.9867459182429011,T
2020,26767510.74777778,0.9726128386847346,T
2021,26378550.882222224,0.9584797591265681,T
2022,25989591.016666666,0.9443466795684015,T
2023,25600631.15111111,0.9302136000102349,T
2024,25211671.285555553,0.9160805204520682,T
2025,24822711.42,0.9019474408939019,T
2026,24440823.552,0.8880713264186111,T
2027,24058935.684,0.8741952119433203,T
2028,23677047.816,0.8603190974680295,T
2029,23295159.948,0.8464429829927386,T
2030,22913272.08,0.8325668685174478,T
