年份,Tot數值,Tot變化,是承諾值
2020,327493.12,97.85,
2019,334696.3,100,
2018,330106.09,98.63,
2017,313177.12,93.57,
2016,269974.33,80.66,
2015,248436.75,74.23,
2014,219083.32,65.46,
2013,197693.53,59.07,
