分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,790
S,員工薪資,薪資中位數,仟元,2020,742
S,員工薪資,平均薪資,仟元,2019,806
S,員工薪資,薪資中位數,仟元,2019,734
S,員工薪資,平均薪資,仟元,2018,770
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1033752920
G,,資本額,元,2019,1033752920
G,收入、成本與淨利,營業收入,仟元,2020,12188857
G,收入、成本與淨利,營業成本,仟元,2020,10903247
G,收入、成本與淨利,營業費用,仟元,2020,1005212
G,收入、成本與淨利,淨利,仟元,2020,557830
G,收入、成本與淨利,營業收入,仟元,2019,16259317
G,收入、成本與淨利,營業成本,仟元,2019,13714136
G,收入、成本與淨利,營業費用,仟元,2019,1162827
G,收入、成本與淨利,淨利,仟元,2019,1097607
G,收入、成本與淨利,營業收入,仟元,2018,13280440
G,收入、成本與淨利,營業成本,仟元,2018,11070093
G,收入、成本與淨利,營業費用,仟元,2018,1104203
G,收入、成本與淨利,淨利,仟元,2018,857041
G,收入、成本與淨利,營業收入,仟元,2017,10203655
G,收入、成本與淨利,營業成本,仟元,2017,8780573
G,收入、成本與淨利,營業費用,仟元,2017,767744
G,收入、成本與淨利,淨利,仟元,2017,546996
G,收入、成本與淨利,營業收入,仟元,2016,9038818
G,收入、成本與淨利,營業成本,仟元,2016,7525810
G,收入、成本與淨利,營業費用,仟元,2016,778757
G,收入、成本與淨利,淨利,仟元,2016,698307
