分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,556
S,員工薪資,薪資中位數,仟元,2020,462
S,員工薪資,平均薪資,仟元,2019,562
S,員工薪資,薪資中位數,仟元,2019,466
S,員工薪資,平均薪資,仟元,2018,585
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1326414000
G,,資本額,元,2019,1326414000
G,收入、成本與淨利,營業收入,仟元,2020,1271905
G,收入、成本與淨利,營業成本,仟元,2020,1124021
G,收入、成本與淨利,營業費用,仟元,2020,106436
G,收入、成本與淨利,淨利,仟元,2020,97497
G,收入、成本與淨利,營業收入,仟元,2019,1918138
G,收入、成本與淨利,營業成本,仟元,2019,1616812
G,收入、成本與淨利,營業費用,仟元,2019,126263
G,收入、成本與淨利,淨利,仟元,2019,176038
G,收入、成本與淨利,營業收入,仟元,2016,1973843
G,收入、成本與淨利,營業成本,仟元,2016,1663401
G,收入、成本與淨利,營業費用,仟元,2016,124256
G,收入、成本與淨利,淨利,仟元,2016,199508
