年份,Tot數值,Tot變化,是推估值
2019,102346.67,129.15,T
2020,101000,127.45,T
2021,99653.33,125.75,T
2022,98306.67,124.05,T
2023,96960,122.35,T
2024,95613.33,120.65,T
2025,94266.67,118.95,T
2026,92920,117.25,T
2027,91573.33,115.55,T
2028,90226.67,113.85,T
2029,88880,112.15,T
2030,87533.33,110.45,T
2031,86186.67,108.75,T
2032,84840,107.05,T
2033,83493.33,105.36,T
2034,82146.67,103.66,T
2035,80800,101.96,T
2036,79453.33,100.26,T
2037,78106.67,98.56,T
2038,76760,96.86,T
2039,75413.33,95.16,T
2040,74066.67,93.46,T
2041,72720,91.76,T
2042,71373.33,90.06,T
2043,70026.67,88.36,T
2044,68680,86.66,T
2045,67333.33,84.96,T
2046,65986.67,83.26,T
2047,64640,81.57,T
2048,63293.33,79.87,T
2049,61946.67,78.17,T
2050,60600,76.47,
