年份,Tot數值,Tot變化,是承諾值
2020,5828642.49,99.22,
2019,5874543.93,100,
2018,6132619.94,104.39,
2017,6278523.74,106.88,
2016,5992412.11,102.01,
2015,6211726.96,105.74,
2014,5930965.93,100.96,
2015,6332222.222222222,1.0779087360101198,T
2016,6255000,1.0647635075221917,T
2017,6177777.777777777,1.0516182790342632,T
2018,6100555.555555555,1.0384730505463349,T
2019,6023333.333333334,1.0253278220584068,T
2020,5946111.111111111,1.0121825935704785,T
2021,5868888.888888889,0.9990373650825503,T
2022,5791666.666666666,0.9858921365946218,T
2023,5714444.444444444,0.9727469081066935,T
2024,5637222.222222222,0.9596016796187653,T
2025,5560000,0.946456451130837,T
2026,5351500,0.9109643342134306,T
2027,5143000,0.8754722172960242,T
2028,4934500.000000001,0.839980100378618,T
2029,4726000,0.8044879834612114,T
2030,4517500,0.768995866543805,T
