年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,9142275.03,101.16,8959412.82,101.43,182862.21,89.47,
2019,9037596.99,100,8833209.67,100,204387.32,100,
2018,10119831.26,111.97,9899184.61,112.07,220646.65,107.96,
2017,9840746.38,108.89,9604727.14,108.73,236019.24,115.48,
2016,9448189.11,104.54,9236653.71,104.57,211535.4,103.5,
2015,9725006.06,107.61,9577771.46,108.43,147234.6,72.04,
2014,9937370.81,109.96,9759054.55,110.48,178316.26,87.24,
2013,9351813.28,103.48,9070469.43,102.69,281343.85,137.65,
2021,8909451.25,98.58,8744308.05,98.99,165143.2,80.8,T
2022,8676627.46,96.01,8529203.27,96.56,147424.19,72.13,T
2023,8443803.68,93.43,8314098.5,94.12,129705.18,63.46,T
2024,8210979.9,90.85,8098993.73,91.69,111986.17,54.79,T
2025,7978156.11,88.28,7883888.95,89.25,94267.16,46.12,T
2026,7745332.33,85.7,7668784.18,86.82,76548.15,37.45,T
2027,7512508.55,83.13,7453679.41,84.38,58829.14,28.78,T
2028,7279684.76,80.55,7238574.63,81.95,41110.13,20.11,T
2029,7046860.98,77.97,7023469.86,79.51,23391.12,11.44,T
2030,6814037.2,75.4,6808365.09,77.08,5672.11,2.78,T
2031,6581213.41,72.82,6593260.31,74.64,0,0,T
2032,6348389.63,70.24,6378155.54,72.21,0,0,T
2033,6115565.85,67.67,6163050.77,69.77,0,0,T
2034,5882742.06,65.09,5947945.99,67.34,0,0,T
2035,5649918.28,62.52,5732841.22,64.9,0,0,T
2036,5417094.5,59.94,5517736.45,62.47,0,0,T
2037,5184270.71,57.36,5302631.67,60.03,0,0,T
2038,4951446.93,54.79,5087526.9,57.6,0,0,T
2039,4718623.15,52.21,4872422.13,55.16,0,0,T
2040,4485799.36,49.63,4657317.35,52.73,0,0,T
2041,4252975.58,47.06,4442212.58,50.29,0,0,T
2042,4020151.8,44.48,4227107.81,47.85,0,0,T
2043,3787328.01,41.91,4012003.03,45.42,0,0,T
2044,3554504.23,39.33,3796898.26,42.98,0,0,T
2045,3321680.45,36.75,3581793.49,40.55,0,0,T
2046,3088856.66,34.18,3366688.71,38.11,0,0,T
2047,2856032.88,31.6,3151583.94,35.68,0,0,T
2048,2623209.1,29.03,2936479.17,33.24,0,0,T
2049,2390385.31,26.45,2721374.39,30.81,0,0,T
2050,2157561.53,23.87,2506269.62,28.37,0,0,T
