分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,847
S,員工薪資,薪資中位數,仟元,2020,785
S,員工薪資,平均薪資,仟元,2019,739
S,員工薪資,薪資中位數,仟元,2019,735
S,員工薪資,平均薪資,仟元,2018,966
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,920000000
G,,資本額,元,2019,920000000
G,收入、成本與淨利,營業收入,仟元,2020,113119
G,收入、成本與淨利,營業成本,仟元,2020,114888
G,收入、成本與淨利,營業費用,仟元,2020,28452
G,收入、成本與淨利,淨利,仟元,2020,-243523
G,收入、成本與淨利,營業收入,仟元,2019,173008
G,收入、成本與淨利,營業成本,仟元,2019,172089
G,收入、成本與淨利,營業費用,仟元,2019,50551
G,收入、成本與淨利,淨利,仟元,2019,961983
G,收入、成本與淨利,營業收入,仟元,2018,264022
G,收入、成本與淨利,營業成本,仟元,2018,255558
G,收入、成本與淨利,營業費用,仟元,2018,77916
G,收入、成本與淨利,淨利,仟元,2018,-68815
G,收入、成本與淨利,營業收入,仟元,2016,359364
G,收入、成本與淨利,營業成本,仟元,2016,344346
G,收入、成本與淨利,營業費用,仟元,2016,32856
G,收入、成本與淨利,淨利,仟元,2016,25472
