分類,子分類,項目,單位,年份,數值
G,,資本額,元,2020,268100000
G,,資本額,元,2019,268100000
G,收入、成本與淨利,營業收入,仟元,2020,128364
G,收入、成本與淨利,營業成本,仟元,2020,846
G,收入、成本與淨利,營業費用,仟元,2020,110558
G,收入、成本與淨利,淨利,仟元,2020,15765
G,收入、成本與淨利,營業收入,仟元,2019,133462
G,收入、成本與淨利,營業成本,仟元,2019,1271
G,收入、成本與淨利,營業費用,仟元,2019,107304
G,收入、成本與淨利,淨利,仟元,2019,19929
