分類,子分類,項目,單位,年份,數值
G,收入、成本與淨利,營業收入,仟元,2020,7078919
G,收入、成本與淨利,營業成本,仟元,2020,4771652
G,收入、成本與淨利,營業費用,仟元,2020,1320124
G,收入、成本與淨利,淨利,仟元,2020,834917
G,收入、成本與淨利,營業收入,仟元,2019,4331956
G,收入、成本與淨利,營業成本,仟元,2019,2720914
G,收入、成本與淨利,營業費用,仟元,2019,1178164
G,收入、成本與淨利,淨利,仟元,2019,433512
G,收入、成本與淨利,營業收入,仟元,2018,3450678
G,收入、成本與淨利,營業成本,仟元,2018,2159237
G,收入、成本與淨利,營業費用,仟元,2018,969516
G,收入、成本與淨利,淨利,仟元,2018,257357
G,收入、成本與淨利,營業收入,仟元,2017,4265643
G,收入、成本與淨利,營業成本,仟元,2017,3064513
G,收入、成本與淨利,營業費用,仟元,2017,881079
G,收入、成本與淨利,淨利,仟元,2017,308743
G,收入、成本與淨利,營業收入,仟元,2016,3690977
G,收入、成本與淨利,營業成本,仟元,2016,3203144
G,收入、成本與淨利,營業費用,仟元,2016,697578
G,收入、成本與淨利,淨利,仟元,2016,-211396
