年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,57751.52,110.98,19770.35,131.22,37981.17,102.74,
2019,52035.86,100,15066.17,100,36969.69,100,
2018,55717.04,107.07,17063.19,113.25,38653.85,104.56,
2017,59557.6,114.45,18698.53,124.11,40859.07,110.52,
2016,59099.9,113.58,19989.33,132.68,39110.57,105.79,
2015,55347.04,106.36,16638.3,110.43,38708.74,104.7,
2014,5200.56,9.99,1051.24,6.98,4149.32,11.22,
2013,4205.94,8.08,391.23,2.6,3814.71,10.32,
2021,57149.49,109.83,20127.62,133.59,37021.87,100.14,T
2022,56547.47,108.67,20484.9,135.97,36062.57,97.55,T
2023,55945.44,107.51,20842.17,138.34,35103.27,94.95,T
2024,55343.41,106.36,21199.44,140.71,34143.97,92.36,T
2025,54741.39,105.2,21556.72,143.08,33184.67,89.76,T
2026,54139.36,104.04,21913.99,145.45,32225.37,87.17,T
2027,53537.33,102.89,22271.26,147.82,31266.07,84.57,T
2028,52935.31,101.73,22628.54,150.19,30306.77,81.98,T
2029,52333.28,100.57,22985.81,152.57,29347.47,79.38,T
2030,51731.25,99.41,23343.08,154.94,28388.17,76.79,T
2031,51129.23,98.26,23700.36,157.31,27428.87,74.19,T
2032,50527.2,97.1,24057.63,159.68,26469.57,71.6,T
2033,49925.17,95.94,24414.9,162.05,25510.27,69,T
2034,49323.15,94.79,24772.18,164.42,24550.97,66.41,T
2035,48721.12,93.63,25129.45,166.79,23591.67,63.81,T
2036,48119.09,92.47,25486.72,169.17,22632.37,61.22,T
2037,47517.07,91.32,25844,171.54,21673.07,58.62,T
2038,46915.04,90.16,26201.27,173.91,20713.77,56.03,T
2039,46313.01,89,26558.54,176.28,19754.47,53.43,T
2040,45710.99,87.85,26915.82,178.65,18795.17,50.84,T
2041,45108.96,86.69,27273.09,181.02,17835.87,48.24,T
2042,44506.93,85.53,27630.36,183.39,16876.57,45.65,T
2043,43904.91,84.37,27987.64,185.76,15917.27,43.05,T
2044,43302.88,83.22,28344.91,188.14,14957.97,40.46,T
2045,42700.85,82.06,28702.18,190.51,13998.67,37.87,T
2046,42098.83,80.9,29059.46,192.88,13039.37,35.27,T
2047,41496.8,79.75,29416.73,195.25,12080.07,32.68,T
2048,40894.77,78.59,29774,197.62,11120.77,30.08,T
2049,40292.75,77.43,30131.28,199.99,10161.47,27.49,T
2050,39690.72,76.28,30488.55,202.36,9202.17,24.89,T
