年份,Tot數值,Tot變化,是推估值
2019,162696,100,
2020,159193.12,97.85,T
2021,155690.24,95.69,T
2022,152187.35,93.54,T
2023,148684.47,91.39,T
2024,145181.59,89.23,T
2025,141678.71,87.08,T
2026,138175.83,84.93,T
2027,134672.95,82.78,T
2028,131170.06,80.62,T
2029,127667.18,78.47,T
2030,124164.3,76.32,
