年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,6669261.89,86.27,5692139.24,84.43,977122.65,98.86,
2019,7730355.53,100,6741970.79,100,988384.74,100,
2018,7959450.7,102.96,7048486.92,104.55,910963.78,92.17,
2017,7255389.07,93.86,6298433.51,93.42,956955.56,96.82,
2016,7378004.73,95.44,6498151.23,96.38,879853.5,89.02,
2015,7719493.64,99.86,6777110.77,100.52,942382.87,95.35,
2014,8645830,111.84,7698797.01,114.19,947032.99,95.82,
2013,8786220.05,113.66,7841120.78,116.3,945099.27,95.62,
2021,6473886.16,83.75,5490041.15,81.43,983845.01,99.54,T
2022,6278510.44,81.22,5287943.06,78.43,990567.38,100.22,T
2023,6083134.71,78.69,5085844.97,75.44,997289.74,100.9,T
2024,5887758.98,76.16,4883746.88,72.44,1004012.1,101.58,T
2025,5692383.26,73.64,4681648.79,69.44,1010734.47,102.26,T
2026,5497007.53,71.11,4479550.7,66.44,1017456.83,102.94,T
2027,5301631.8,68.58,4277452.61,63.45,1024179.19,103.62,T
2028,5106256.08,66.05,4075354.52,60.45,1030901.56,104.3,T
2029,4910880.35,63.53,3873256.43,57.45,1037623.92,104.98,T
2030,4715504.62,61,3671158.34,54.45,1044346.28,105.66,T
2031,4520128.9,58.47,3469060.25,51.45,1051068.65,106.34,T
2032,4324753.17,55.95,3266962.16,48.46,1057791.01,107.02,T
2033,4129377.44,53.42,3064864.07,45.46,1064513.37,107.7,T
2034,3934001.72,50.89,2862765.98,42.46,1071235.74,108.38,T
2035,3738625.99,48.36,2660667.89,39.46,1077958.1,109.06,T
2036,3543250.26,45.84,2458569.8,36.47,1084680.46,109.74,T
2037,3347874.54,43.31,2256471.71,33.47,1091402.83,110.42,T
2038,3152498.81,40.78,2054373.62,30.47,1098125.19,111.1,T
2039,2957123.08,38.25,1852275.53,27.47,1104847.55,111.78,T
2040,2761747.36,35.73,1650177.44,24.48,1111569.92,112.46,T
2041,2566371.63,33.2,1448079.35,21.48,1118292.28,113.14,T
2042,2370995.9,30.67,1245981.26,18.48,1125014.64,113.82,T
2043,2175620.18,28.14,1043883.17,15.48,1131737.01,114.5,T
2044,1980244.45,25.62,841785.08,12.49,1138459.37,115.18,T
2045,1784868.72,23.09,639686.99,9.49,1145181.73,115.86,T
2046,1589493,20.56,437588.9,6.49,1151904.1,116.54,T
2047,1394117.27,18.03,235490.81,3.49,1158626.46,117.22,T
2048,1198741.54,15.51,33392.72,0.5,1165348.82,117.9,T
2049,1003365.82,12.98,0,0,1172071.19,118.58,T
2050,807990.09,10.45,0,0,1178793.55,119.26,T
