年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,745915.47,110.68,535146.17,134.92,210769.3,76.01,
2019,673925.98,100,396642.35,100,277283.63,100,
2018,686856.64,101.92,359946.58,90.75,326910.06,117.9,
2017,663405.25,98.44,342391.51,86.32,321013.74,115.77,
2016,658667.4,97.74,353049.84,89.01,305617.56,110.22,
2015,643729.8,95.52,342476.97,86.34,301252.83,108.64,
2014,616471.19,91.47,318560.77,80.31,297910.42,107.44,
2021,773418.88,114.76,599397.72,151.12,174021.15,62.76,T
2022,800922.28,118.84,663649.28,167.32,137273.01,49.51,T
2023,828425.69,122.93,727900.83,183.52,100524.86,36.25,T
2024,855929.1,127.01,792152.38,199.71,63776.71,23,T
2025,883432.5,131.09,856403.94,215.91,27028.57,9.75,T
2026,910935.91,135.17,920655.49,232.11,0,0,T
2027,938439.32,139.25,984907.04,248.31,0,0,T
2028,965942.72,143.33,1049158.6,264.51,0,0,T
2029,993446.13,147.41,1113410.15,280.71,0,0,T
2030,1020949.54,151.49,1177661.7,296.91,0,0,T
2031,1048452.94,155.57,1241913.26,313.11,0,0,T
2032,1075956.35,159.65,1306164.81,329.31,0,0,T
2033,1103459.76,163.74,1370416.36,345.5,0,0,T
2034,1130963.16,167.82,1434667.92,361.7,0,0,T
2035,1158466.57,171.9,1498919.47,377.9,0,0,T
2036,1185969.98,175.98,1563171.02,394.1,0,0,T
2037,1213473.38,180.06,1627422.58,410.3,0,0,T
2038,1240976.79,184.14,1691674.13,426.5,0,0,T
2039,1268480.2,188.22,1755925.68,442.7,0,0,T
2040,1295983.6,192.3,1820177.24,458.9,0,0,T
2041,1323487.01,196.38,1884428.79,475.1,0,0,T
2042,1350990.42,200.47,1948680.34,491.29,0,0,T
2043,1378493.82,204.55,2012931.9,507.49,0,0,T
2044,1405997.23,208.63,2077183.45,523.69,0,0,T
2045,1433500.64,212.71,2141435,539.89,0,0,T
2046,1461004.04,216.79,2205686.56,556.09,0,0,T
2047,1488507.45,220.87,2269938.11,572.29,0,0,T
2048,1516010.86,224.95,2334189.66,588.49,0,0,T
2049,1543514.26,229.03,2398441.22,604.69,0,0,T
2050,1571017.67,233.11,2462692.77,620.88,0,0,T
