分類,子分類,項目,單位,年份,數值
E,環境違規,違反環境法規金額,元,2019,6000
E,環境違規,違反環境法規次數,次,2019,1
S,員工薪資,平均薪資,仟元,2020,2360
S,員工薪資,薪資中位數,仟元,2020,1946
S,員工薪資,平均薪資,仟元,2019,2100
S,員工薪資,薪資中位數,仟元,2019,1819
S,員工薪資,平均薪資,仟元,2018,1993
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,5106848750
G,,資本額,元,2019,5106848750
G,營運狀況,營業收入,仟元,2020,77759470
G,營運狀況,營業成本,仟元,2020,44510731
G,營運狀況,營業費用,仟元,2020,24609176
G,營運狀況,淨利,仟元,2020,8793526
G,營運狀況,營業收入,仟元,2019,60744006
G,營運狀況,營業成本,仟元,2019,34160690
G,營運狀況,營業費用,仟元,2019,20252451
G,營運狀況,淨利,仟元,2019,6790375
G,營運狀況,營業收入,仟元,2018,45805746
G,營運狀況,營業成本,仟元,2018,25344876
G,營運狀況,營業費用,仟元,2018,16696410
G,營運狀況,淨利,仟元,2018,4350781
G,營運狀況,營業收入,仟元,2017,41688021
G,營運狀況,營業成本,仟元,2017,23784599
G,營運狀況,營業費用,仟元,2017,14705409
G,營運狀況,淨利,仟元,2017,3392160
G,營運狀況,營業收入,仟元,2016,38914031
G,營運狀況,營業成本,仟元,2016,22017294
G,營運狀況,營業費用,仟元,2016,13560755
G,營運狀況,淨利,仟元,2016,3039837
