年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,3162726.63,102.29,2998902.58,102.11,163824.05,105.55,
2019,3092046.76,100,2936830.85,100,155215.91,100,
2018,3052279.97,98.71,2885737.94,98.26,166542.03,107.3,
2017,3032582.97,98.08,2858369.63,97.33,174213.34,112.24,
2016,3419299.97,110.58,3229666.58,109.97,189633.39,122.17,
2015,3820179.22,123.55,3625206.22,123.44,194973,125.61,
2014,4064351.79,131.45,3864529.03,131.59,199822.76,128.74,
2013,4297360.51,138.98,4084661.25,139.08,212699.26,137.03,
2021,3206107.85,103.69,3045746.9,103.71,160360.95,103.31,T
2022,3249489.07,105.09,3092591.21,105.3,156897.86,101.08,T
2023,3292870.29,106.49,3139435.53,106.9,153434.76,98.85,T
2024,3336251.51,107.9,3186279.85,108.49,149971.66,96.62,T
2025,3379632.73,109.3,3233124.16,110.09,146508.57,94.39,T
2026,3423013.95,110.7,3279968.48,111.68,143045.47,92.16,T
2027,3466395.17,112.11,3326812.8,113.28,139582.37,89.93,T
2028,3509776.39,113.51,3373657.11,114.87,136119.28,87.7,T
2029,3553157.61,114.91,3420501.43,116.47,132656.18,85.47,T
2030,3596538.83,116.32,3467345.75,118.06,129193.08,83.23,T
2031,3639920.05,117.72,3514190.06,119.66,125729.99,81,T
2032,3683301.27,119.12,3561034.38,121.25,122266.89,78.77,T
2033,3726682.49,120.52,3607878.7,122.85,118803.79,76.54,T
2034,3770063.71,121.93,3654723.01,124.44,115340.7,74.31,T
2035,3813444.93,123.33,3701567.33,126.04,111877.6,72.08,T
2036,3856826.15,124.73,3748411.65,127.63,108414.5,69.85,T
2037,3900207.37,126.14,3795255.96,129.23,104951.41,67.62,T
2038,3943588.59,127.54,3842100.28,130.82,101488.31,65.39,T
2039,3986969.81,128.94,3888944.6,132.42,98025.21,63.15,T
2040,4030351.03,130.35,3935788.91,134.01,94562.12,60.92,T
2041,4073732.25,131.75,3982633.23,135.61,91099.02,58.69,T
2042,4117113.47,133.15,4029477.55,137.2,87635.92,56.46,T
2043,4160494.69,134.55,4076321.86,138.8,84172.83,54.23,T
2044,4203875.91,135.96,4123166.18,140.4,80709.73,52,T
2045,4247257.13,137.36,4170010.5,141.99,77246.63,49.77,T
2046,4290638.35,138.76,4216854.81,143.59,73783.54,47.54,T
2047,4334019.57,140.17,4263699.13,145.18,70320.44,45.3,T
2048,4377400.79,141.57,4310543.45,146.78,66857.34,43.07,T
2049,4420782.01,142.97,4357387.76,148.37,63394.25,40.84,T
2050,4464163.23,144.38,4404232.08,149.97,59931.15,38.61,T
