分類,子分類,項目,單位,年份,數值
G,收入、成本與淨利,營業收入,仟元,2020,3750121
G,收入、成本與淨利,營業成本,仟元,2020,2546565
G,收入、成本與淨利,營業費用,仟元,2020,283984
G,收入、成本與淨利,淨利,仟元,2020,684661
G,收入、成本與淨利,營業收入,仟元,2019,3463053
G,收入、成本與淨利,營業成本,仟元,2019,2378558
G,收入、成本與淨利,營業費用,仟元,2019,289549
G,收入、成本與淨利,淨利,仟元,2019,664986
G,收入、成本與淨利,營業收入,仟元,2018,3412024
G,收入、成本與淨利,營業成本,仟元,2018,2368616
G,收入、成本與淨利,營業費用,仟元,2018,286669
G,收入、成本與淨利,淨利,仟元,2018,774363
G,收入、成本與淨利,營業收入,仟元,2017,3094368
G,收入、成本與淨利,營業成本,仟元,2017,2035509
G,收入、成本與淨利,營業費用,仟元,2017,241643
G,收入、成本與淨利,淨利,仟元,2017,627189
G,收入、成本與淨利,營業收入,仟元,2016,2956016
G,收入、成本與淨利,營業成本,仟元,2016,2068666
G,收入、成本與淨利,營業費用,仟元,2016,259915
G,收入、成本與淨利,淨利,仟元,2016,571545
