分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,439
S,員工薪資,薪資中位數,仟元,2020,409
S,員工薪資,平均薪資,仟元,2019,430
S,員工薪資,薪資中位數,仟元,2019,420
S,員工薪資,平均薪資,仟元,2018,446
S,員工薪資,薪資中位數,仟元,2018,NaN
G,收入、成本與淨利,營業收入,仟元,2020,329104
G,收入、成本與淨利,營業成本,仟元,2020,315842
G,收入、成本與淨利,營業費用,仟元,2020,206559
G,收入、成本與淨利,淨利,仟元,2020,-425124
G,收入、成本與淨利,營業收入,仟元,2019,452953
G,收入、成本與淨利,營業成本,仟元,2019,414154
G,收入、成本與淨利,營業費用,仟元,2019,177520
G,收入、成本與淨利,淨利,仟元,2019,55457
G,收入、成本與淨利,營業收入,仟元,2018,599246
G,收入、成本與淨利,營業成本,仟元,2018,596228
G,收入、成本與淨利,營業費用,仟元,2018,68284
G,收入、成本與淨利,淨利,仟元,2018,-67956
G,收入、成本與淨利,營業收入,仟元,2017,756930
G,收入、成本與淨利,營業成本,仟元,2017,733307
G,收入、成本與淨利,營業費用,仟元,2017,71705
G,收入、成本與淨利,淨利,仟元,2017,-45948
G,收入、成本與淨利,營業收入,仟元,2016,798416
G,收入、成本與淨利,營業成本,仟元,2016,774307
G,收入、成本與淨利,營業費用,仟元,2016,81693
G,收入、成本與淨利,淨利,仟元,2016,64613
