年份,Tot數值,Tot變化,是承諾值
2020,130538.37,92.8,
2019,140667.63,100,
2018,153992.18,109.47,
2019,147859.74,1.0511283939311409,T
2020,146504.61,1.0414948343126273,T
2021,145149.47999999998,1.0318612746941138,T
2022,143794.35,1.0222277150756005,T
2023,142439.22,1.012594155457087,T
2024,141084.09,1.0029605958385734,T
2025,139728.96,0.9933270362200599,T
2026,133766.388,0.9509393738986006,T
2027,127803.816,0.9085517115771411,T
2028,121841.24399999999,0.8661640492556816,T
2029,115878.67199999999,0.8237763869342221,T
2030,109916.09999999999,0.7813887246127627,T
