年份,Tot數值,Tot變化,是承諾值
2020,170938.32,94.12,
2019,181617.36,100,
2018,215890.57,118.87,
2017,222095.07,122.29,
2016,209950.06,115.6,
2015,207112.09,114.04,
2014,216066.44,118.97,
