年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,9482.83,107.79,46.38,131.8,9436.45,107.69,
2019,8797.68,100,35.19,100,8762.49,100,
2018,6581.28,74.81,21.7,61.67,6559.58,74.86,
2021,10933.61,124.28,58.72,166.87,10874.89,124.11,T
2022,12384.38,140.77,71.06,201.93,12313.32,140.52,T
2023,13835.16,157.26,83.4,237,13751.76,156.94,T
2024,15285.93,173.75,95.74,272.07,15190.19,173.35,T
2025,16736.71,190.24,108.08,307.13,16628.63,189.77,T
2026,18187.48,206.73,120.42,342.2,18067.06,206.19,T
2027,19638.26,223.22,132.76,377.27,19505.5,222.6,T
2028,21089.03,239.71,145.1,412.33,20943.93,239.02,T
2029,22539.81,256.2,157.44,447.4,22382.37,255.43,T
2030,23990.58,272.69,169.78,482.47,23820.8,271.85,T
2031,25441.36,289.18,182.12,517.53,25259.24,288.27,T
2032,26892.13,305.67,194.46,552.6,26697.67,304.68,T
2033,28342.91,322.16,206.8,587.67,28136.11,321.1,T
2034,29793.68,338.65,219.14,622.73,29574.54,337.51,T
2035,31244.46,355.14,231.48,657.8,31012.98,353.93,T
2036,32695.23,371.63,243.82,692.87,32451.41,370.34,T
2037,34146.01,388.13,256.16,727.93,33889.85,386.76,T
2038,35596.78,404.62,268.5,763,35328.28,403.18,T
2039,37047.56,421.11,280.84,798.07,36766.72,419.59,T
2040,38498.33,437.6,293.18,833.13,38205.15,436.01,T
2041,39949.11,454.09,305.52,868.2,39643.59,452.42,T
2042,41399.88,470.58,317.86,903.27,41082.02,468.84,T
2043,42850.66,487.07,330.2,938.33,42520.46,485.26,T
2044,44301.43,503.56,342.54,973.4,43958.89,501.67,T
2045,45752.21,520.05,354.88,1008.47,45397.33,518.09,T
2046,47202.98,536.54,367.22,1043.54,46835.76,534.5,T
2047,48653.76,553.03,379.56,1078.6,48274.2,550.92,T
2048,50104.53,569.52,391.9,1113.67,49712.63,567.33,T
2049,51555.31,586.01,404.24,1148.74,51151.07,583.75,T
2050,53006.08,602.5,416.58,1183.8,52589.5,600.17,T
