年份,Tot數值,Tot變化,是承諾值
2013,38247.96,222.79,
2014,37459.43,218.19,
2015,37577.03,218.88,
2016,32304.2,188.17,
2017,21331.67,124.25,
2018,19630.84,114.35,
2019,17167.89,100,
2020,16009.29,93.25,
2021,45995.8,267.92,T
2022,36796.64,214.33,T
2023,27597.48,160.75,T
2024,18398.32,107.17,T
2025,9199.16,53.58,T
2026,8585.88,50.01,T
2027,7972.61,46.44,T
2028,7359.33,42.87,T
2029,6746.05,39.29,T
2030,6132.77,35.72,T
2031,5519.5,32.15,T
2032,4906.22,28.58,T
2033,4292.94,25.01,T
2034,3679.66,21.43,T
2035,3066.39,17.86,T
2036,2453.11,14.29,T
2037,1839.83,10.72,T
2038,1226.55,7.14,T
2039,613.28,3.57,T
2040,0,0,T
