年份,Tot數值,Tot變化,是承諾值
2020,332807,101.86,
2019,326715.16,100,
2018,347361.57,106.32,
2017,342939.56,104.97,
2016,340429.01,104.2,
2015,320946.03,98.23,
2014,313780.24,96.04,
2015,320946,0.9823419274453014,T
2016,316666.72000000003,0.9692440350793641,T
2017,312387.44,0.9561461427134267,T
2018,308108.16,0.9430482503474892,T
2019,303828.88,0.929950357981552,T
2020,299549.6,0.9168524656156145,T
2021,295270.32,0.9037545732496772,T
2022,290991.04,0.8906566808837398,T
2023,286711.76,0.8775587885178026,T
2024,282432.48,0.8644608961518652,T
2025,278153.2,0.8513630037859279,T
2026,273873.92,0.8382651114199905,T
2027,269594.64,0.8251672190540532,T
2028,265315.36,0.8120693266881157,T
2029,261036.08000000002,0.7989714343221785,T
2030,256756.80000000002,0.7858735419562412,T
