年份,Tot數值,Tot變化,是推估值
2019,114819.3,114.94,
2020,113885.81,114,T
2021,112952.32,113.07,T
2022,112018.83,112.14,T
2023,111085.34,111.2,T
2024,110151.85,110.27,T
2025,109218.36,109.33,
2026,99510.06,99.61,T
2027,89801.76,89.9,T
2028,80093.46,80.18,T
2029,70385.16,70.46,T
2030,60676.87,60.74,
2031,57643.02,57.7,T
2032,54609.18,54.67,T
2033,51575.34,51.63,T
2034,48541.49,48.59,T
2035,45507.65,45.56,T
2036,42473.81,42.52,T
2037,39439.96,39.48,T
2038,36406.12,36.44,T
2039,33372.28,33.41,T
2040,30338.43,30.37,T
2041,27304.59,27.33,T
2042,24270.75,24.3,T
2043,21236.9,21.26,T
2044,18203.06,18.22,T
2045,15169.22,15.19,T
2046,12135.37,12.15,T
2047,9101.53,9.11,T
2048,6067.69,6.07,T
2049,3033.84,3.04,T
2050,0,0,
