年份,Tot數值,Tot變化,是承諾值
2013,2410037.96,102.57,
2014,2465127.09,104.92,
2015,2470361.1,105.14,
2016,2538218.36,108.03,
2017,2692688.27,114.6,
2018,2713369.56,115.48,
2019,2349590.2,100,
2020,2262801.49,96.31,
2021,3229464.29,137.45,T
2022,3100285.71,131.95,T
2023,2971107.14,126.45,T
2024,2841928.57,120.95,T
2025,2712750,115.46,T
