分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一（直接排放）,公噸CO2e,2006,67531.27
E,溫室氣體排放,範疇二（間接排放）,公噸CO2e,2006,67531.27
S,員工薪資,平均薪資,仟元,2020,520
S,員工薪資,薪資中位數,仟元,2020,455
S,員工薪資,平均薪資,仟元,2019,485
S,員工薪資,薪資中位數,仟元,2019,413
S,員工薪資,平均薪資,仟元,2018,523
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,5217218760
G,,資本額,元,2019,5217218760
G,收入、成本與淨利,營業收入,仟元,2020,5965534
G,收入、成本與淨利,營業成本,仟元,2020,5767398
G,收入、成本與淨利,營業費用,仟元,2020,291690
G,收入、成本與淨利,淨利,仟元,2020,254887
G,收入、成本與淨利,營業收入,仟元,2019,6727363
G,收入、成本與淨利,營業成本,仟元,2019,6725672
G,收入、成本與淨利,營業費用,仟元,2019,374223
G,收入、成本與淨利,淨利,仟元,2019,165049
G,收入、成本與淨利,營業收入,仟元,2018,8552749
G,收入、成本與淨利,營業成本,仟元,2018,7661378
G,收入、成本與淨利,營業費用,仟元,2018,432512
G,收入、成本與淨利,淨利,仟元,2018,405269
G,收入、成本與淨利,營業收入,仟元,2017,9431751
G,收入、成本與淨利,營業成本,仟元,2017,8085825
G,收入、成本與淨利,營業費用,仟元,2017,502587
G,收入、成本與淨利,淨利,仟元,2017,670536
G,收入、成本與淨利,營業收入,仟元,2016,8748398
G,收入、成本與淨利,營業成本,仟元,2016,7799729
G,收入、成本與淨利,營業費用,仟元,2016,473329
G,收入、成本與淨利,淨利,仟元,2016,440354
