年份,Tot數值,Tot變化,是推估值
2019,478722,100,
2020,467229.82,97.6,T
2021,455737.64,95.2,T
2022,444245.45,92.8,T
2023,432753.27,90.4,T
2024,421261.09,88,T
2025,409768.91,85.6,T
2026,398276.73,83.2,T
2027,386784.55,80.8,T
2028,375292.36,78.39,T
2029,363800.18,75.99,T
2030,352308,73.59,
