分類,子分類,項目,單位,年份,數值
G,收入、成本與淨利,營業收入,仟元,2020,9171338
G,收入、成本與淨利,營業成本,仟元,2020,7898297
G,收入、成本與淨利,營業費用,仟元,2020,579958
G,收入、成本與淨利,淨利,仟元,2020,494824
G,收入、成本與淨利,營業收入,仟元,2019,8807059
G,收入、成本與淨利,營業成本,仟元,2019,7585139
G,收入、成本與淨利,營業費用,仟元,2019,567621
G,收入、成本與淨利,淨利,仟元,2019,467504
G,收入、成本與淨利,營業收入,仟元,2018,8886549
G,收入、成本與淨利,營業成本,仟元,2018,7558551
G,收入、成本與淨利,營業費用,仟元,2018,599614
G,收入、成本與淨利,淨利,仟元,2018,537442
G,收入、成本與淨利,營業收入,仟元,2017,7593150
G,收入、成本與淨利,營業成本,仟元,2017,6164633
G,收入、成本與淨利,營業費用,仟元,2017,508298
G,收入、成本與淨利,淨利,仟元,2017,685825
G,收入、成本與淨利,營業收入,仟元,2016,5998907
G,收入、成本與淨利,營業成本,仟元,2016,4904084
G,收入、成本與淨利,營業費用,仟元,2016,491818
G,收入、成本與淨利,淨利,仟元,2016,467632
