年份,Tot數值,Tot變化,是承諾值
2013,444351.65,112.73,
2014,424096.9,107.6,
2015,401308.75,101.81,
2016,377078,95.67,
2017,432481.93,109.72,
2018,419026.1,106.31,
2019,394160.12,100,
2020,423041.14,107.33,
2021,439839.48,111.59,T
2022,434952.37,110.35,T
2023,430065.27,109.11,T
2024,425178.16,107.87,T
2025,420291.06,106.63,T
2026,415403.95,105.39,T
2027,410516.85,104.15,T
2028,405629.74,102.91,T
2029,400742.63,101.67,T
2030,395855.53,100.43,T
2031,390968.42,99.19,T
2032,386081.32,97.95,T
2033,381194.21,96.71,T
2034,376307.11,95.47,T
2035,371420,94.23,T
2036,366532.9,92.99,T
2037,361645.79,91.75,T
2038,356758.69,90.51,T
2039,351871.58,89.27,T
2040,346984.48,88.03,T
2041,342097.37,86.79,T
2042,337210.27,85.55,T
2043,332323.16,84.31,T
2044,327436.06,83.07,T
2045,322548.95,81.83,T
2046,317661.84,80.59,T
2047,312774.74,79.35,T
2048,307887.63,78.11,T
2049,303000.53,76.87,T
2050,298113.42,75.63,T
