分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,639
S,員工薪資,薪資中位數,仟元,2020,585
S,員工薪資,平均薪資,仟元,2019,600
S,員工薪資,薪資中位數,仟元,2019,565
S,員工薪資,平均薪資,仟元,2018,660
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1000002390
G,,資本額,元,2019,1000002390
G,收入、成本與淨利,營業收入,仟元,2020,760612
G,收入、成本與淨利,營業成本,仟元,2020,569253
G,收入、成本與淨利,營業費用,仟元,2020,249479
G,收入、成本與淨利,淨利,仟元,2020,-16680
G,收入、成本與淨利,營業收入,仟元,2019,909011
G,收入、成本與淨利,營業成本,仟元,2019,674251
G,收入、成本與淨利,營業費用,仟元,2019,307201
G,收入、成本與淨利,淨利,仟元,2019,-59524
G,收入、成本與淨利,營業收入,仟元,2018,1140217
G,收入、成本與淨利,營業成本,仟元,2018,809299
G,收入、成本與淨利,營業費用,仟元,2018,328375
G,收入、成本與淨利,淨利,仟元,2018,21484
G,收入、成本與淨利,營業收入,仟元,2017,1239886
G,收入、成本與淨利,營業成本,仟元,2017,862030
G,收入、成本與淨利,營業費用,仟元,2017,327685
G,收入、成本與淨利,淨利,仟元,2017,37384
G,收入、成本與淨利,營業收入,仟元,2016,1464505
G,收入、成本與淨利,營業成本,仟元,2016,1047128
G,收入、成本與淨利,營業費用,仟元,2016,341012
G,收入、成本與淨利,淨利,仟元,2016,129500
